diasuransikan	di @@asuransi @@kan
penampilannya	pen @@tampil @@an @@nya
dikoreksi	di @@koreksi
pertimbangan	per @@timbang @@an
berorganisasi	ber @@organisasi
karier	karier
membalikkannya	men @@balik @@kan @@nya
pembalasan	pen @@balas @@an
wakili	wakil @@i
disebabkan	di @@sebab @@kan
persalinan	per @@salin @@an
penyisihan	pen @@sisih @@an
sepengetahuan	se @@pengetahuan
merubuhkan	men @@rubuh @@kan
dipilih	di @@pilih
memanjatkan	men @@panjat @@kan
perkataanmu	per @@kata @@an @@mu
maut	maut
kuponnya	kupon @@nya
berderit	ber @@derit
berkebangsaan	ber @@ke @@bangsa @@an
usaha	usaha
obatan	obat @@an
terganggunya	ter @@ganggu @@nya
mengaktifkan	men @@aktif @@kan
curiga	curiga
menghafalkan	men @@hafal @@kan
khususnya	khusus @@nya
pemainnya	pen @@main @@nya
disuntik	di @@suntik
ikan	ikan
desain	desain
berbaris	ber @@baris
belokan	belok @@an
menggenangi	men @@genang @@i
akademik	akademik
mematahkan	men @@patah @@kan
pendorong	pen @@dorong
alot	alot
menghubunginya	men @@hubung @@i @@nya
otoriter	otoriter
stempel	stempel
segan	segan
menyingkap	men @@singkap
perahunya	perahu @@nya
dilabuhkan	di @@labuh @@kan
pilihan	pilih @@an
antar	antar
tebangan	tebang @@an
lusinan	lusin @@an
sekrup	sekrup
kawan	kawan
bawahmu	bawah @@mu
berbunga	ber @@bunga
kemas	kemas
prinsipnya	prinsip @@nya
diemban	di @@emban
sesampainya	se @@sampai @@nya
terselenggaranya	ter @@selenggara @@nya
rekomendasi	rekomendasi
membaik	men @@baik
persaingannya	per @@saing @@an @@nya
diwawancarai	di @@wawancara @@i
ditegaskan	di @@tegas @@kan
menghapuskan	men @@hapus @@kan
mendalami	men @@dalam @@i
berbuntut	ber @@buntut
perlengkapan	per @@lengkap @@an
dicukur	di @@cukur
dinasnya	dinas @@nya
datang	datang
menyamar	men @@samar
membelenggu	men @@belenggu
internalnya	internal @@nya
merajalela	men @@rajalela
durian	duri @@an
tersungkur	ter @@sungkur
belahan	belah @@an
dimarahi	di @@marah @@i
pendahulunya	pendahulu @@nya
penyidikan	pen @@sidik @@an
mendidik	men @@didik
pencobaan	pen @@coba @@an
selesaikan	selesai @@kan
mendirikan	men @@diri @@kan
tabungan	tabung @@an
mengganti	men @@ganti
mengartikannya	men @@arti @@kan @@nya
dikelilingi	di @@keliling @@i
pembelian	pen @@beli @@an
menyetorkannya	men @@setor @@kan @@nya
teknik	teknik
negosiasi	negosiasi
statis	statis
menumpas	men @@tumpas
gilir	gilir
perkasa	perkasa
fitur	fitur
kehendakku	kehendak @@ku
terkecil	ter @@kecil
hektare	hektare
menyengsarakan	men @@sengsara @@kan
diskriminasi	diskriminasi
menangani	men @@tangan @@i
memperolehnya	men @@peroleh @@nya
denyut	denyut
terbangun	ter @@bangun
otomatis	otomatis
memberitahukan	men @@beritahu @@kan
mengoreksi	men @@koreksi
penarikan	pen @@tarik @@an
ditulis	di @@tulis
mencercanya	men @@cerca @@nya
datangnya	datang @@nya
mengasihiku	men @@kasih @@i @@ku
subur	subur
peneguhan	pen @@teguh @@an
pencetus	pen @@cetus
diperbarui	di @@per @@baru @@i
kesenjangan	kesenjangan
bergerak	ber @@gerak
mengancam	men @@ancam
iseng	iseng
memetakan	men @@peta @@kan
dilaksanakan	di @@laksana @@kan
sisanya	sisa @@nya
semenarik	se @@menarik
sukacitaku	sukacita @@aku
ubi	ubi
mual	mual
diungkap	di @@ungkap
didiskusikan	di @@diskusi @@kan
bekal	bekal
menyambutku	men @@sambut @@ku
tahunnya	tahun @@nya
distorsi	distorsi
terjebak	ter @@jebak
menjelekkan	men @@jelek @@kan
dicairkan	di @@cair @@kan
perilaku	perilaku
konsorsium	konsorsium
rekaman	rekam @@an
informan	informan
kurikulum	kurikulum
merealokasi	men @@realokasi
iringan	iring @@an
tulangku	tulang @@ku
tepukan	tepuk @@an
menentukan	men @@tentu @@kan
tercipta	ter @@cipta
disaksikan	di @@saksi @@kan
menjerat	men @@jerat
seterusnya	se @@terus @@nya
nyata	nyata
diikutsertakannya	di @@ikutserta @@kan @@nya
mengikutinya	men @@ikut @@i @@nya
diselamatkannya	di @@selamat @@kan @@nya
menjamurnya	men @@jamur @@nya
membatu	men @@batu
memprediksikan	men @@prediksi @@kan
beregenerasi	ber @@regenerasi
deputi	deputi
kolaborasi	kolaborasi
dibayangkan	di @@bayang @@kan
inspirasi	inspirasi
bicaranya	bicara @@nya
delegasi	delegasi
beranggota	ber @@anggota
adat	adat
mengkonsumsi	men @@konsumsi
dibebankan	di @@beban @@kan
diterlantarkan	di @@terlantar @@kan
administratifnya	administratif @@nya
dikoordinasi	di @@koordinasi
penuturan	pen @@tutur @@an
menerbitkan	men @@terbit @@kan
dipersempit	di @@per @@sempit
sebanyak	se @@banyak
hapuskan	hapus @@kan
mencintaiku	men @@cinta @@i @@ku
mahasiswanya	mahasiswa @@nya
traktor	traktor
peti	peti
campak	campak
penggoda	pen @@goda
pemdanya	pemda @@nya
inisial	inisial
harapannya	harap @@an @@nya
terpelihara	ter @@pelihara
memucat	men @@pucat
perkelahian	per @@kelahi @@an
sumberdaya	sumberdaya
pas	pas
bloknya	blok @@nya
gerbang	gerbang
dimungkinkan	dimungkinkan
kuatirmu	kuatir @@mu
menghancurkannya	men @@hancur @@kan @@nya
digendong	di @@gendong
nonfisik	non @@fisik
peneliti	pen @@teliti
dijelaskan	di @@jelas @@kan
penanggulangannya	pen @@tanggulang @@an @@nya
rw	rw
meramaikan	men @@ramai @@kan
ajaibnya	ajaib @@nya
diinspirasikan	di @@inspirasi @@kan
didekati	di @@dekat @@i
ketidakcocokan	ke @@tidak @@cocok @@an
toko	toko
diindonesiakan	di @@indonesia @@kan
efisiensinya	efisiensi @@nya
membelanjakannya	men @@belanja @@kan @@nya
disoroti	di @@sorot @@i
bergurau	ber @@gurau
memperkecil	men @@kecil
mengutus	men @@utus
pembacanya	pen @@baca @@nya
mengikut	men @@ikut
separah	se @@parah
perkataan	per @@kata @@an
panitia	panitia
membidangi	men @@bidang @@i
pembayarannya	pen @@bayar @@an @@nya
dimuntahkan	di @@muntah @@kan
dioperasikan	di @@operasi @@kan
pembangunan	pen @@bangun @@an
primer	primer
lembaran	lembar @@an
arif	arif
domisili	domisili
hilang	hilang
pembuatnya	pen @@buat @@nya
disaat	di @@saat
berkabungnya	berkabung @@nya
terlempar	ter @@lempar
lelaki	lelaki
termuda	ter @@muda
sebanding	se @@banding
dijabat	di @@jabat
tunggu	tunggu
truk	truk
rambutan	rambut @@an
menantangnya	men @@tantang @@nya
aplikasi	aplikasi
mandiri	mandiri
pembatalan	pen @@batal @@an
kedengaran	ke @@dengar @@an
menyanggupi	men @@sanggup @@i
arteri	arteri
identitasnya	identitas @@nya
dipilihkan	di @@pilih @@kan
komponen	komponen
proteksi	proteksi
berprofesi	ber @@profesi
pastikan	pasti @@kan
percekcokan	per @@cekcok @@an
tuanku	tuan @@ku
perwakilan	per @@wakil @@an
firmanku	firman @@ku
renungan	renung @@an
menumbuhkannya	men @@tumbuh @@kan @@nya
tips	tips
terpola	ter @@pola
pria	pria
liter	liter
tercanggih	ter @@canggih
kaisar	kaisar
kitab	kitab
melelehkan	men @@leleh @@kan
retribusi	retribusi
pengadministrasian	pen @@administrasi @@an
bersandar	ber @@sandar
kasi	kas @@i
terlupakan	ter @@lupa @@kan
kurungan	kurung @@an
parameter	parameter
digarap	di @@garap
mengidap	men @@idap
mengunjunginya	men @@kunjung @@i @@nya
terlontar	ter @@lontar
ditanggung	di @@tanggung
mencantumkan	men @@cantum @@kan
pertempuran	per @@tempur @@an
seimbang	seimbang
berlabuh	ber @@labuh
diizinkan	di @@izin @@kan
sangka	sangka
rambutmu	rambut @@mu
menandingi	men @@tanding @@i
meyakinkan	men @@yakin @@kan
informasinya	informasi @@nya
disebarluaskan	di @@sebarluas @@kan
melampirkan	men @@lampir @@kan
terbayar	ter @@bayar
membaiknya	men @@baik @@nya
independent	independent
kuat	kuat
terdahsyat	ter @@dahsyat
mempunyai	men @@punya @@i
ditekel	di @@tekel
antarpengukuran	antar @@pen @@ukur @@an
roboh	roboh
mempelajarinya	men @@pelajar @@i @@nya
mengintervensi	men @@intervensi
naik	naik
menuntaskan	men @@tuntas @@kan
kelapanya	kelapa @@nya
mengantarkan	men @@antar @@kan
memaksa	men @@paksa
menampung	men @@tampung
bajakannya	bajak @@an @@nya
alfabet	alfabet
tembok	tembok
berkompromi	ber @@kompromi
melaksanakan	men @@laksana @@kan
menyanggah	men @@sanggah
sederhanakan	sederhana @@kan
antarmitra	antar @@mitra
deklarasi	deklarasi
jembatannya	jembatan @@nya
terberatnya	ter @@berat @@nya
diciumnya	di @@cium @@nya
ditentukan	di @@tentu @@kan
hancurnya	hancur @@nya
eksklusif	eksklusif
penyalur	pen @@salur
ala	ala
didiagnosis	di @@diagnosis
memberitahu	men @@beritahu
dibangunkan	di @@bangun @@kan
penggantinya	pen @@ganti @@nya
mengevaluasi	men @@evaluasi
taruhan	taruh @@an
mewakilinya	men @@wakil @@i @@nya
berkeberatan	ber @@ke @@berat @@an
terdefinisi	ter @@definisi
baru	baru
diketahui	di @@ketahui
disimpulkannya	di @@simpul @@kan @@nya
terawat	ter @@rawat
peminjaman	pen @@pinjam @@an
menyuapkannya	men @@suap @@kan @@nya
salad	salad
sinarnya	sinar @@nya
telpon	telpon
kronis	kronis
pengulangan	pen @@ulang @@an
mengikutsertakan	men @@ikutserta @@kan
khawatirkan	khawatir @@kan
dirangkum	di @@rangkum
semusim	se @@musim
diikat	di @@ikat
penanya	pen @@tanya
bait	bait
membiayainya	men @@biaya @@i @@nya
merujuk	men @@rujuk
ekor	ekor
teduh	teduh
terpopuler	ter @@populer
semak	semak
patriotik	patriotik
ditelaah	di @@telaah
bagian	bagi @@an
bayaran	bayar @@an
lensa	lensa
mengkoordinasi	men @@koordinasi
kondisi	kondisi
figurnya	figur @@nya
pencacahan	pen @@cacah @@an
ibukota	ibukota
terheran	ter @@heran
elektronik	elektronik
intervensi	intervensi
keriput	keriput
pembagi	pen @@bagi
dibicarakan	di @@bicara @@kan
tergolong	ter @@golong
modal	modal
berakibat	ber @@akibat
pasangan	pasang @@an
dampak	dampak
pengenal	pen @@kenal
eceran	ecer @@an
nun	nun
jinak	jinak
peralatan	per @@alat @@an
adik	adik
kuota	kuota
melawan	men @@lawan
gulungan	gulung @@an
dikuatkan	di @@kuat @@kan
bersaat	ber @@saat
protes	protes
masuk	masuk
diantar	di @@antar
berkorban	ber @@korban
disimpulkan	di @@simpul @@kan
ikut	ikut
perundingan	pen @@runding @@an
penuntut	pen @@tuntut
memanah	men @@panah
diperkenalkannya	di @@per @@kenal @@kan @@nya
mikro	mikro
gratis	gratis
bersikap	ber @@sikap
gigitan	gigit @@an
institusi	institusi
diformulasikan	di @@formulasi @@kan
resolusi	resolusi
dihanguskan	di @@hangus @@kan
saluran	salur @@an
jauhnya	jauh @@nya
terbilang	ter @@bilang
memprosesnya	men @@proses @@nya
lanjut	lanjut
perawat	pen @@rawat
memungkinkannya	memungkinkan @@nya
pemusnahan	pen @@musnah @@an
antusiasmenya	antusiasme @@nya
mengutuk	men @@kutuk
dibimbing	di @@bimbing
termulia	ter @@mulia
sampingan	samping @@an
mengandalkan	men @@andal @@kan
minumnya	minum @@nya
bermusuhan	ber @@musuh @@an
himbauan	himbau @@an
bertanya	ber @@tanya
perkaretan	per @@karet @@an
penyebarluasan	pen @@sebarluas @@an
bersekolah	ber @@sekolah
tenteram	tenteram
mengaduk	men @@aduk
penganyam	pen @@anyam
mengisahkan	men @@kisah @@kan
ditempel	di @@tempel
persalinannya	per @@salin @@an @@nya
radikal	radikal
tersingkirnya	ter @@singkir @@nya
netral	netral
juruselamatku	juruselamat @@ku
diramalkan	di @@ramal @@kan
merdeka	merdeka
tutup	tutup
senjatanya	senjata @@nya
konkret	konkret
naturnya	natur @@nya
perduli	perduli
tergenang	ter @@genang
tampak	tampak
minat	minat
bangsawan	bangsa @@wan
disiram	di @@siram
dimakamkan	di @@makam @@kan
mempersiapkannya	men @@siap @@kan @@nya
mendatangkan	men @@datang @@kan
beranggapan	ber @@anggap @@an
tuntutannya	tuntut @@an @@nya
diteladankan	di @@teladan @@kan
realis	realis
prancis	prancis
tersihir	ter @@sihir
paradigma	paradigma
dianalisis	di @@analisis
inggris	inggris
kemajuan	ke @@maju @@an
wilayah	wilayah
sahabatku	sahabat @@ku
mengemuka	men @@kemuka
nafsunya	nafsu @@nya
tabung	tabung
berlatar	ber @@latar
diintegrasikan	di @@integrasi @@kan
respons	respons
suaminya	suami @@nya
berpegang	ber @@pegang
mengimplementasikan	men @@implementasi @@kan
nutrisinya	nutrisi @@nya
terhormat	ter @@hormat
petik	petik
legitimasi	legitimasi
bergulingan	ber @@guling @@an
pencuci	pen @@cuci
pekan	pekan
sesamamu	se @@sama @@mu
food	food
berbadan	ber @@badan
ketidakaktifan	ke @@tidak @@aktif @@an
tonggak	tonggak
diharuskan	di @@harus @@kan
disebutkan	di @@sebut @@kan
terlindung	ter @@lindung
basi	bas @@i
pembantuan	pen @@bantu @@an
yatim	yatim
mengadopsi	men @@adopsi
kamu	kamu
tempat	tempat
pengaudit	pen @@audit
lutut	lutut
akbar	akbar
pengasingan	pen @@asing @@an
beragam	ber @@ragam
dihitung	di @@hitung
mengguncangkan	men @@guncang @@kan
bayi	bayi
menggoncangkan	men @@goncang @@kan
amoral	amoral
saudara	saudara
instrumen	instrumen
ukurannya	ukur @@an @@nya
mengontrak	men @@kontrak
keterlibatan	ke @@terlibat @@an
penyuluhan	pen @@suluh @@an
mandatnya	mandat @@nya
menengok	men @@tengok
berkeadilan	ber @@ke @@adil @@an
manajerial	manajerial
mencobanya	men @@coba @@nya
meluncurkan	men @@luncur @@kan
diperankan	di @@peran @@kan
berpindah	ber @@pindah
jam	jam
kencang	kencang
menghapusnya	men @@hapus @@nya
cucunya	cucu @@nya
memaksanya	men @@paksa @@nya
menjembatani	men @@jembatan @@i
mendapat	men @@dapat
distribusi	distribusi
tertundanya	ter @@tunda @@nya
bernegosiasi	ber @@negosiasi
meneruskan	men @@terus @@kan
dimaksudkannya	di @@maksud @@kan @@nya
merombak	men @@rombak
ketidakefektifan	ke @@tidak @@efektif @@an
memantau	men @@pantau
domestik	domestik
mahkamah	mahkamah
kenangan	kenang @@an
lumpur	lumpur
empuk	empuk
takut	takut
berdialog	ber @@dialog
sepanjang	se @@panjang
melemparkan	men @@lempar @@kan
berimbas	ber @@imbas
berargumentasi	ber @@argumentasi
jelasnya	jelas @@nya
kredibel	kredibel
pembajakan	pen @@bajak @@an
sekotak	se @@kotak
antarsektor	antar @@sektor
didera	di @@dera
terdistribusi	ter @@distribusi
bepergian	bepergian
terkoordinir	ter @@koordinir
mendebarkan	men @@debar @@kan
memasyarakat	men @@masyarakat
angsurannya	angsur @@an @@nya
lengan	lengan
bahasan	bahas @@an
konfrontasi	konfrontasi
misalnya	misal @@nya
stasiun	stasiun
kompromi	kompromi
sebarannya	sebar @@an @@nya
pendapat	pen @@dapat
triwulan	triwulan
dosen	dosen
terprogram	ter @@program
dibekali	di @@bekal @@i
berusaha	ber @@usaha
membiayai	men @@biaya @@i
firaun	firaun
merenggut	men @@renggut
mencekik	men @@cekik
antarjenjang	antar @@jenjang
dijerumuskan	di @@jerumus @@kan
dipenuhi	di @@penuh @@i
dikurung	di @@kurung
terdahulu	terdahulu
faktanya	fakta @@nya
mil	mil
antarprogram	antar @@program
laporannya	lapor @@an @@nya
peta	peta
ofensif	ofensif
sampannya	sampan @@nya
pemberitaan	pen @@berita @@an
hatimu	hati @@mu
mengurusi	men @@urus @@i
dideklarasikan	di @@deklarasi @@kan
alokasinya	alokasi @@nya
astronom	astronom
dimobilisasi	di @@mobilisasi
perceraian	per @@cerai @@an
persiapannya	per @@siap @@an @@nya
menggalang	men @@galang
rendahan	rendah @@an
penjaminnya	pen @@jamin @@nya
batal	batal
tajamnya	tajam @@nya
dekatnya	dekat @@nya
serbuan	serbu @@an
menceburkan	men @@cebur @@kan
federasi	federasi
natalnya	natal @@nya
dicalonkan	di @@calon @@kan
ditunjukan	di @@tunjuk @@an
mengabari	men @@kabar @@i
ucapannya	ucap @@an @@nya
perancangan	pen @@rancang @@an
bawah	bawah
agama	agama
selayaknya	se @@layak @@nya
dayanya	daya @@nya
dipajaki	di @@pajak @@i
cepat	cepat
kau	kau
dielaborasi	di @@elaborasi
komponennya	komponen @@nya
mempermudah	men @@mudah
pinang	pinang
kebal	kebal
takutnya	takut @@nya
menyangkanya	men @@sangka @@nya
penampung	pen @@tampung
tatapannya	tatap @@an @@nya
bersintesis	ber @@sintesis
sanksinya	sanksi @@nya
gajinya	gaji @@nya
dilupakannya	di @@lupa @@kan @@nya
menghina	men @@hina
terputus	ter @@putus
responden	responden
empunya	empunya
perbankan	per @@bank @@an
menggoda	men @@goda
cerai	cerai
buaian	buai @@an
bunyinya	bunyi @@nya
diterjemahkan	di @@terjemah @@kan
mencolok	men @@colok
suplemen	suplemen
tertutup	ter @@tutup
produksi	produksi
pengampun	pen @@ampun
turki	turki
orang	orang
ulasan	ulas @@an
dividen	dividen
berkondisi	ber @@kondisi
bervariasi	ber @@variasi
waktu	waktu
memainkannya	men @@main @@kan @@nya
mendominasi	men @@dominasi
berhubung	ber @@hubung
saudaramu	saudara @@mu
pendaratan	pen @@darat @@an
jarahan	jarah @@an
sepenuh	se @@penuh
beku	beku
dihentikan	di @@henti @@kan
mengarsipkan	men @@arsip @@kan
penutup	pen @@tutup
memancingnya	men @@pancing @@nya
pembawa	pen @@bawa
anjuran	anjur @@an
bermekaran	ber @@mekar @@an
tanamkan	tanam @@kan
pengembaliannya	pen @@kembali @@an @@nya
memenuhi	men @@penuh @@i
pasokan	pasok @@an
merekrut	men @@rekrut
menekan	men @@tekan
saji	saji
sulaman	sulam @@an
pukulan	pukul @@an
kandangnya	kandang @@nya
dibantu	di @@bantu
sucikan	suci @@kan
asisten	asisten
penyucian	pen @@suci @@an
berkendara	ber @@kendara
profesi	profesi
letih	letih
perhentian	per @@henti @@an
memasangnya	men @@pasang @@nya
bersumpah	ber @@sumpah
piala	piala
terkendali	ter @@kendali
goyah	goyah
menebang	men @@tebang
asalkan	asal @@kan
margasatwa	margasatwa
menolaknya	men @@tolak @@nya
khayalan	khayal @@an
penganut	pen @@anut
pasifik	pasifik
pembibitan	pen @@bibit @@an
penggantian	pen @@ganti @@an
pengaruhi	pengaruh @@i
disibukkan	di @@sibuk @@kan
berlanjut	ber @@lanjut
kumpulan	kumpul @@an
memancarkan	men @@pancar @@kan
jurang	jurang
lezatnya	lezat @@nya
memuja	men @@puja
menyalahgunakannya	men @@salahguna @@kan @@nya
kelas	kelas
mangsanya	mangsa @@nya
mementingkan	men @@penting @@kan
pigmen	pigmen
menginstruksikan	men @@instruksi @@kan
menjual	men @@jual
maraton	maraton
pungutnya	pungut @@nya
pelaksanaan	pen @@laksana @@an
membantunya	men @@bantu @@nya
emosional	emosional
pemahamannya	pen @@paham @@an @@nya
manipulasi	manipulasi
memetik	men @@petik
anjingnya	anjing @@nya
menahan	men @@tahan
kamp	kamp
pengajar	pen @@ajar
penggunaannya	pen @@guna @@an @@nya
mendengarkan	men @@dengar @@kan
penghakiman	pen @@hakim @@an
utamanya	utama @@nya
hakekatnya	hakekat @@nya
pelindung	pen @@lindung
penghalau	pen @@halau
luangkan	luang @@kan
respon	respon
diterangkan	di @@terang @@kan
bunganya	bunga @@nya
alumni	alumni
keluar	keluar
contohnya	contoh @@nya
bak	bak
upah	upah
terjual	ter @@jual
terhubungi	ter @@hubung @@i
nafas	nafas
sejenis	se @@jenis
menjabat	men @@jabat
maknanya	makna @@nya
menyaksikannya	men @@saksi @@kan @@nya
sedihnya	sedih @@nya
terlebih	ter @@lebih
pemahaman	pen @@paham @@an
kolam	kolam
mengusulkannya	men @@usul @@kan @@nya
tafsiran	tafsir @@an
surga	surga
hindari	hindar @@i
membaca	men @@baca
purba	purba
tehnya	teh @@nya
jantan	jantan
kupercaya	ku @@percaya
perkenalan	per @@kenal @@an
penghinaan	pen @@hina @@an
pinggang	pinggang
bersimpati	ber @@simpati
dibangun	di @@bangun
paragraf	paragraf
penagihannya	pen @@tagih @@an @@nya
sebulan	se @@bulan
bantal	bantal
kuingat	ku @@ingat
ketidakmampuan	ke @@tidak @@mampu @@an
dimeriahkan	di @@meriah @@kan
pertaniannya	per @@tani @@an @@nya
memamerkannya	men @@pamer @@kan @@nya
kentalnya	kental @@nya
lembaga	lembaga
selaras	selaras
pengadaan	pen @@ada @@an
menggagalkan	men @@gagal @@kan
menjagamu	men @@jaga @@mu
jauhkan	jauh @@kan
tetap	tetap
rancangan	rancang @@an
sepakat	sepakat
film	film
abstrak	abstrak
matiku	mati @@ku
kumpulkan	kumpul @@kan
dibunyikan	di @@bunyi @@kan
menerjemahkan	men @@terjemah @@kan
kuyakini	ku @@yakin @@i
panenan	panen @@an
