menguraikan	men urai kan
perajin	pen rajin
pembatasan	pen batas an
pengangkut	pen angkut
grup	grup
integritasnya	integritas nya
karakteristik	karakteristik
keponakan	keponakan
mengefektifkan	men efektif kan
disaksikan	di saksi kan
pengolahan	pen olah an
terhentinya	ter henti nya
diperburuk	di per buruk
mengenyahkan	men enyah kan
mengencangkan	men kencang kan
eksploitasi	eksploitasi
saraf	saraf
mendatang	men datang
lereng	lereng
bungkusan	bungkus an
memposisikan	men posisi kan
analis	analis
tergantung	ter gantung
pembeli	pen beli
operasinya	operasi nya
dibuat	di buat
galangan	galang an
kondisi	kondisi
integritas	integritas
sejahtera	sejahtera
meluncur	men luncur
melunasi	men lunas i
mengungkapkannya	men ungkap kan nya
iseng	iseng
memilikinya	men milik i nya
pasokan	pasok an
tenteram	tenteram
perkasa	perkasa
menyepakati	men sepakat i
simak	simak
memperkosa	men perkosa
dianalisis	di analisis
akunting	akunting
dikenakan	di kena kan
diputuskan	di putus kan
pengalokasian	pen alokasi an
terkelompok	ter kelompok
keikutsertaannya	ke ikutserta an nya
kanannya	kanan nya
jatuhnya	jatuh nya
berargumen	ber argumen
memperhadapkan	men hadap kan
kapasitasnya	kapasitas nya
makanannya	makan an nya
tubuh	tubuh
menaiki	men naik i
pemanis	pen manis
seru	seru
kerabatnya	kerabat nya
berseberangan	ber seberang an
absennya	absen nya
ingini	ingin i
melodi	melodi
jembatan	jembatan
cela	cela
selesaikan	selesai kan
periode	periode
terbelakang	ter belakang
berkebangsaan	ber ke bangsa an
dilampirkan	di lampir kan
bertanggungjawab	ber tanggungjawab
kartunya	kartu nya
judi	judi
bersertifikat	ber sertifikat
menyeberang	men seberang
berutang	ber utang
dicurigai	di curiga i
prioritas	prioritas
mendarat	men darat
pemerintah	pen perintah
diperingan	di per ringan
penghalau	pen halau
personal	personal
terbenamnya	ter benam nya
serapan	serap an
merampingkan	men ramping kan
asumsi	asumsi
sumbernya	sumber nya
nuklir	nuklir
belanda	belanda
mempublikasikan	men publikasi kan
memandu	men pandu
tertanam	ter tanam
seyogyanya	se yogya nya
dikuasai	di kuasa i
pengeluaran	pen keluar an
lorong	lorong
penerima	pen terima
dikelolanya	di kelola nya
gadis	gadis
kisah	kisah
penundukan	pen tunduk an
pesawat	pesawat
ditempuhnya	di tempuh nya
antarprovinsi	antar provinsi
kutuk	kutuk
atraksi	atraksi
entri	entri
gembira	gembira
sobekan	sobek an
seusia	se usia
perjumpaan	per jumpa an
kapnya	kap nya
antarruangan	antar ruang an
pamannya	paman nya
dipinjam	di pinjam
berbunga	ber bunga
pelaksanaan	pen laksana an
navigasi	navigasi
usah	usah
bendahara	bendahara
penganyam	pen anyam
mengirim	men kirim
diacuhkan	di acuh kan
airnya	air nya
cepatnya	cepat nya
tuntut	tuntut
tungku	tungku
dibalik	di balik
memproyeksikan	men proyeksi kan
kasus	kasus
rendah	rendah
menyadarinya	men sadar i nya
menjamur	men jamur
tunjangan	tunjang an
digali	di gali
jumat	jumat
islami	islam i
dividen	dividen
edisi	edisi
mengejutkannya	men kejut kan nya
peradilan	per adil an
berperan	ber peran
isteri	isteri
pilih	pilih
fotonya	foto nya
pemancing	pen pancing
perlukan	perlu kan
menyurati	men surat i
dampaknya	dampak nya
menyobek	men sobek
membakarmu	men bakar mu
paksa	paksa
disambut	di sambut
abdikan	abdi kan
seumpama	se umpama
ditempeli	di tempel i
kalkun	kalkun
terbaik	ter baik
antartingkat	antar tingkat
paginya	pagi nya
dikelilingi	di keliling i
terjaga	ter jaga
projek	projek
pedih	pedih
mempersempit	men sempit
disibukkan	di sibuk kan
penampilan	pen tampil an
bulan	bulan
bersaat	ber saat
penangguhan	pen tangguh an
susunan	susun an
penyebaran	pen sebar an
pengabdiannya	pen abdi an nya
inisial	inisial
publikasi	publikasi
televisi	televisi
kejam	kejam
ikannya	ikan nya
pengoleksi	pen koleksi
penanggung	pen tanggung
menampung	men tampung
sesamamu	se sama mu
melewatinya	men lewat i nya
jebol	jebol
tersimpan	ter simpan
dimandatkan	di mandat kan
bab	bab
menyerbu	men serbu
dimaksud	di maksud
mencondongkan	men condong kan
menerobos	men terobos
citra	citra
pemelihara	pen pelihara
keringnya	kering nya
rudal	rudal
berujar	ber ujar
penggorengan	pen goreng an
menguatkannya	men kuat kan nya
sulut	sulut
tercemar	ter cemar
diadaptasi	di adaptasi
pergaulan	per gaul an
melaksanakan	men laksana kan
ketidakpekaan	ke tidak peka an
berkomitmen	ber komitmen
berpikirnya	ber pikir nya
membayangkan	men bayang kan
putraku	putra aku
berbuat	ber buat
harta	harta
berwibawa	ber wibawa
bermunculan	ber muncul an
serangga	serangga
disingkapkan	di singkap kan
menyemburkan	men sembur kan
dananya	dana nya
terhambat	ter hambat
penggusuran	pen gusur an
mei	mei
imunisasinya	imunisasi nya
memuliakan	men mulia kan
penyangga	pen sangga
artikel	artikel
daerah	daerah
sentuhan	sentuh an
diurutkan	di urut kan
ditanggapi	di tanggap i
diolesi	di oles i
gugur	gugur
menandingi	men tanding i
melipatgandakan	men lipatganda kan
kawan	kawan
konsultan	konsultan
dijualnya	di jual nya
granat	granat
jujur	jujur
ham	ham
mutlak	mutlak
menumpahkan	men tumpah kan
kotamadya	kotamadya
memaksanya	men paksa nya
menyalahgunakannya	men salahguna kan nya
persamaan	per sama an
merawat	men rawat
menduplikasi	men duplikasi
unik	unik
pengetahuan	pengetahuan
kelihatannya	ke lihat an nya
komisi	komisi
tabrak	tabrak
relatifnya	relatif nya
keberadaannya	keberadaan nya
terumbu	terumbu
diredam	di redam
melemah	men lemah
tersisih	ter sisih
latarbelakang	latarbelakang
penyiangan	pen siang an
sampelnya	sampel nya
fleksibilitas	fleksibilitas
bermuara	ber muara
dianugerahkan	di anugerah kan
makro	makro
mataku	mata aku
pengasih	pen kasih
dipenuhi	di penuh i
pengguna	pen guna
manufaktur	manufaktur
beragama	ber agama
cek	cek
pinjamannya	pinjam an nya
bobroknya	bobrok nya
tangkapannya	tangkap an nya
usulan	usul an
mengesahkan	men sah kan
terserah	ter serah
dipacu	di pacu
stiker	stiker
memerintahkan	men perintah kan
pipi	pipi
diperbaruinya	di per baru i nya
berpagar	ber pagar
haus	haus
binatang	binatang
ruu	ruu
dikompensasi	di kompensasi
dipetakan	di peta kan
pelempar	pen lempar
ketidaktransparanan	ke tidak transparan an
mengukurkan	men ukur kan
tongkatnya	tongkat nya
kostum	kostum
terkumpul	ter kumpul
ketidakakuratan	ke tidak akurat an
dikumandangkan	di kumandang kan
berkelahi	ber kelahi
sesamaku	se sama aku
adil	adil
pancing	pancing
bertanda	ber tanda
menerus	men terus
kamar	kamar
diagnostik	diagnostik
peminatnya	pen minat nya
berdampingan	ber damping an
mengajak	men ajak
september	september
ditahan	di tahan
dibelanjakan	di belanja kan
penopang	pen topang
janggal	janggal
usia	usia
dikonsolidasi	di konsolidasi
semudah	se mudah
kulit	kulit
penyuapan	pen suap an
jari	jari
kakeknya	kakek nya
menganggarkan	men anggar kan
dikenal	di kenal
memasyarakat	men masyarakat
dituangkan	di tuang kan
pala	pala
geluti	gelut i
menunggu	men tunggu
dicakup	di cakup
elpiji	elpiji
menjalin	men jalin
terakhirnya	ter akhir nya
pengabdian	pen abdi an
disidangkan	di sidang kan
menyesali	men sesal i
usianya	usia nya
mengkonfirmasi	men konfirmasi
pemberkasan	pen berkas an
cadangannya	cadang an nya
menggagas	men gagas
penghinaan	pen hina an
pertobatannya	per tobat an nya
gusar	gusar
prevalensinya	prevalensi nya
skandalnya	skandal nya
mencetak	men cetak
menjajakan	men jaja kan
terungkap	ter ungkap
menempuh	men tempuh
dimenangkan	di menang kan
nonpertaniannya	non per tani an nya
penempatan	pen tempat an
penyaliban	pen salib an
esok	esok
mengadunya	men adu nya
luasan	luas an
gerejanya	gereja nya
terancam	ter ancam
kapasitas	kapasitas
menghalau	men halau
nafsunya	nafsu nya
kesudahan	ke sudah an
kambing	kambing
sorenya	sore nya
bercela	ber cela
sorot	sorot
mencuri	men curi
dihindarinya	di hindar i nya
detak	detak
melempar	men lempar
nonmuslim	nonmuslim
ciri	ciri
ikat	ikat
hormati	hormat i
dipicu	di picu
dikaruniai	di karunia i
merangkum	men rangkum
rekrut	rekrut
kupelajari	ku pelajar i
menyekolahkan	men sekolah kan
tertundanya	ter tunda nya
membereskan	men beres kan
pendapat	pen dapat
penalti	penalti
berteguh	ber teguh
dilukis	di lukis
pembersihan	pen bersih an
mengkoordinasikan	men koordinasi kan
jauhnya	jauh nya
terkunci	ter kunci
memanggil	men panggil
penggandaan	pen ganda an
bajakannya	bajak an nya
kepemimpinannya	kepemimpinan nya
kuku	kuku
dibekali	di bekal i
menangnya	menang nya
prosesnya	proses nya
mengabdikan	men abdi kan
memperkokoh	men kokoh
prihatin	prihatin
lokasi	lokasi
komitmennya	komitmen nya
akad	akad
menganyam	men anyam
berjasa	ber jasa
ngomongnya	ngomong nya
daftar	daftar
astronot	astronot
rambutnya	rambut nya
berdasar	ber dasar
cobaan	coba an
pengacau	pen kacau
pakar	pakar
juruselamat	juruselamat
tembak	tembak
lesunya	lesu nya
jawaban	jawab an
sekecil	se kecil
mudahnya	mudah nya
mendewakan	men dewa kan
kenaikan	ke naik an
memodifikasi	men modifikasi
mengikat	men ikat
jangkauan	jangkau an
bersesuaian	ber sesuai an
pertempuran	per tempur an
lusinan	lusin an
menakjubkan	men takjub kan
menyiasati	men siasat i
pandang	pandang
didapatkannya	di dapat kan nya
prevalensi	prevalensi
menyasar	men sasar
bergoncang	ber goncang
transformasi	transformasi
didekatnya	di dekat nya
dagingnya	daging nya
turunkan	turun kan
lkm	lkm
dimuliakan	di mulia kan
dikelompokkan	di kelompok kan
memisahkannya	men pisah kan nya
menghapusnya	men hapus nya
idenya	ide nya
pengaturan	pen atur an
bersejarah	ber sejarah
kirim	kirim
ekstra	ekstra
memaknai	men makna i
memadamkan	men madam kan
dididik	di didik
beragam	ber ragam
kedengarannya	ke dengar an nya
urusanku	urus an ku
disumbangkan	di sumbang kan
disertifikasi	di sertifikasi
menggugah	men gugah
menghentikan	men henti kan
sutradara	sutradara
singa	singa
dibuatnya	di buat nya
botol	botol
dermaga	dermaga
volumenya	volume nya
ikatan	ikat an
berawalan	ber awal an
mendengarkannya	men dengar kan nya
sinarnya	sinar nya
beban	beban
asam	asam
mengundurkan	men undur kan
batas	batas
didaur	di daur
pengembalian	pen kembali an
bersabda	ber sabda
indikatornya	indikator nya
perujukan	pen rujuk an
tempuh	tempuh
reporter	reporter
berikut	ber ikut
jurnalisme	jurnalisme
dimasukkannya	di masuk kan nya
miliarder	miliarder
terintegrasi	ter integrasi
jalurnya	jalur nya
paradigma	paradigma
pengeras	pen keras
parfum	parfum
diuntungkan	di untung kan
kelihatan	ke lihat an
pasukannya	pasukan nya
tahanan	tahan an
sapi	sapi
murahnya	murah nya
dengar	dengar
berguna	ber guna
efektif	efektif
menyetujui	men setuju i
dibayangkan	di bayang kan
kumpulkan	kumpul kan
konstituen	konstituen
wajan	wajan
pelindungnya	pen lindung nya
batinnya	batin nya
merancang	men rancang
keluhannya	keluh an nya
didesentralisasikan	di desentralisasi kan
memperbolehkan	men boleh kan
profesional	profesional
bertumpu	ber tumpu
kartun	kartun
dukanya	duka nya
pemandangannya	pen pandang an nya
antarguru	antar guru
limpahan	limpah an
berkarier	ber karier
dasawarsa	dasawarsa
penambang	pen tambang
rumah	rumah
serius	serius
penyebarluasan	pen sebarluas an
tangkap	tangkap
gugusan	gugus an
katanya	kata nya
penasihat	penasihat
timbal	timbal
mencerna	men cerna
kebangunan	ke bangun an
biaya	biaya
menderita	men derita
pertanggungjawabannya	per tanggungjawab an nya
pendefinisian	pen definisi an
nuansa	nuansa
dirumuskan	di rumus kan
kuba	kuba
penyelamat	pen selamat
disuruh	di suruh
merumput	men rumput
kabel	kabel
mencairnya	men cair nya
tengah	tengah
cadang	cadang
polanya	pola nya
lutut	lutut
pemanfaatan	pen manfaat an
dijelaskan	di jelas kan
kamera	kamera
menangis	men tangis
serok	se rok
berorganisasi	ber organisasi
menggantung	men gantung
ujarnya	ujar nya
membasahi	men basah i
perimbangan	per imbang an
keping	keping
roda	roda
disamping	di samping
seekor	se ekor
diakhiri	di akhir i
bersekutu	ber sekutu
bersedih	ber sedih
beritakan	berita kan
kuat	kuat
makannya	makan nya
oposisi	oposisi
substansinya	substansi nya
pengelompokan	pen kelompok an
pemberi	pen beri
otomotif	otomotif
satuan	satu an
pukulan	pukul an
merealokasikan	men realokasi kan
konservasi	konservasi
praktek	praktek
wol	wol
asas	asas
pengunduran	pen undur an
bergulat	ber gulat
tertular	ter tular
penyerahannya	pen serah an nya
termotivasi	ter motivasi
menggadaikan	men gadai kan
deras	deras
jarimu	jari mu
aus	aus
tenar	tenar
pancuran	pancur an
maraknya	marak nya
patroli	patroli
pasalnya	pasal nya
mencadangkan	men cadang kan
dikaburkan	di kabur kan
alat	alat
semampu	se mampu
termuda	ter muda
pembahasannya	pen bahas an nya
panglima	panglima
penyaluran	pen salur an
video	video
antarkomoditas	antar komoditas
wujud	wujud
menyamarkannya	men samar kan nya
kusut	kusut
terbangun	ter bangun
balau	balau
mengunjungi	men kunjung i
diloloskan	di lolos kan
diselaraskan	di selaras kan
reksa	reksa
dilanjutkan	di lanjut kan
pencocokan	pen cocok an
merontokkan	men rontok kan
sentral	sentral
tercapai	ter capai
rumor	rumor
titipan	titip an
gugus	gugus
bermacam	ber macam
kesenjangan	kesenjangan
dibengkokkan	di bengkok kan
aktivis	aktivis
pengecualian	pengecualian
tertindas	ter tindas
pengusulan	pen usul an
pengumumannya	pen umum an nya
melengkapinya	men lengkap i nya
antarkeyakinan	antar ke yakin an
kerangka	kerangka
ditakuti	di takut i
seraya	se raya
terdata	ter data
pemborosan	pen boros an
membungkamkan	men bungkam kan
bencana	bencana
menyepelekan	men sepele kan
pentingnya	penting nya
isapan	isap an
meninggikan	men tinggi kan
sewajarnya	se wajar nya
tobat	tobat
petunjuknya	petunjuk nya
berdarah	ber darah
tujukan	tuju kan
membelokkan	men belok kan
konotasi	konotasi
berakar	ber akar
insya	insya
registrasi	registrasi
peregangan	pen regang an
bertobat	ber tobat
muncul	muncul
sekurangnya	se kurang nya
perijinan	per ijin an
beregenerasi	ber regenerasi
kuasa	kuasa
terpengaruh	ter pengaruh
invasi	invasi
disyukuri	di syukuri
berliku	ber liku
liat	liat
menghalangimu	men halang i mu
perantaraan	perantara an
meniru	men tiru
kuyakini	ku yakin i
ramai	ramai
mengunyah	men kunyah
merevisi	men revisi
sebutan	sebut an
utangnya	utang nya
menginginkanku	men ingin kan ku
meringankan	men ringan kan
kecurigaan	ke curiga an
pertengahan	per tengah an
penekanan	pen tekan an
didarati	di darat i
keeratan	ke erat an
bertuliskan	ber tulis kan
berkabungnya	berkabung nya
dilingkupi	di lingkup i
memedomani	men pedoman i
berjanji	ber janji
moneter	moneter
bahagiaku	bahagia aku
diperbuat	di per buat
patriotik	patriotik
dicengkeram	di cengkeram
didalam	di dalam
kartu	kartu
ibunya	ibu nya
kunjungi	kunjung i
ketua	ketua
menginvestasikan	men investasi kan
diperbuatnya	di per buat nya
bertanam	ber tanam
terbawa	ter bawa
tercepat	ter cepat
dipersulit	di per sulit
ikhlas	ikhlas
lembut	lembut
masanya	masa nya
paruh	paruh
dialokasikan	di alokasi kan
pemilihan	pen pilih an
pacu	pacu
dipertegas	di per tegas
membagikannya	men bagi kan nya
terhebat	ter hebat
kabarnya	kabar nya
punya	punya
kata	kata
detail	detail
berlindung	ber lindung
kira	kira
penetapannya	pen tetap an nya
diyakini	di yakin i
menanjak	men tanjak
dihanguskan	di hangus kan
diawali	di awal i
kelahirannya	ke lahir an nya
berdatangan	ber datang an
puskesmasnya	puskesmas nya
menghiasi	men hias i
dipertimbangkan	di per timbang kan
kaki	kaki
gencar	gencar
butuhkan	butuh kan
tertumpuk	ter tumpuk
sekarat	se karat
anjlok	anjlok
menuju	men tuju
pembina	pen bina
terhubungi	ter hubung i
angkat	angkat
sebagian	sebagian
balik	balik
meninggalkan	men tinggal kan
bertepatan	ber tepat an
terdaftar	ter daftar
tekun	tekun
dinamakan	di nama kan
sukacitaku	sukacita aku
medali	medali
nominasi	nominasi
memerbaiki	men perbaiki
cabangnya	cabang nya
pencapaian	pen capai an
diperingatkan	di per ingat kan
penerbangan	pen terbang an
meneruskannya	men terus kan nya
pembukuannya	pen buku an nya
tepatnya	tepat nya
beralkohol	ber alkohol
ras	ras
junjunganku	junjung an ku
dikombinasikan	di kombinasi kan
penataan	pen tata an
dihiasi	di hias i
saringan	saring an
sanksi	sanksi
berlibur	ber libur
berawak	ber awak
membagikan	men bagi kan
kisaran	kisar an
didasarkan	di dasar kan
kontraktor	kontraktor
menginterpretasikannya	men interpretasi kan nya
kucapai	ku capai
dicocokkan	di cocok kan
menargetkan	men target kan
memburu	men buru
nonusaha	non usaha
ketidaksabaran	ke tidak sabar an
pisang	pisang
terlarang	ter larang
awan	awan
turnamen	turnamen
didedikasikan	di dedikasi kan
didukung	di dukung
diluputkan	di luput kan
ketidaksiapan	ke tidak siap an
gabus	gabus
merisaukan	men risau kan
bernapas	ber napas
konseling	konseling
tertua	ter tua
antarorangtua	antar orangtua
demobilisasi	demobilisasi
pengemudi	pen kemudi
diangkut	di angkut
