bermimpi	ber mimpi
dominasi	dominasi
disisipkan	di sisip kan
memeriksanya	men periksa nya
membanjirnya	men banjir nya
menghadapi	men hadap i
tunggal	tunggal
terakomodasinya	ter akomodasi nya
timah	timah
terperangkap	ter pen rangkap
pengangkat	pen angkat
mengenyahkan	men enyah kan
tergabung	ter gabung
menyelesaikan	men selesai kan
jakarta	jakarta
naik	naik
penyerangan	pen serang an
liciknya	licik nya
diredakan	di reda kan
basis	basis
halal	halal
melarat	melarat
diakibatkan	di akibat kan
menyemburkan	men sembur kan
diajak	di ajak
berhak	ber hak
terlipat	ter lipat
sebenarnya	se benar nya
mengusahakan	men usaha kan
kejadianku	ke jadi an ku
ditempat	di tempat
berambut	ber rambut
menemaninya	men teman i nya
terbuai	ter buai
penghentian	pen henti an
diakibatkannya	di akibat kan nya
dimobilisasi	di mobilisasi
keturunan	ke turun an
memandang	men pandang
olah	olah
melemahnya	men lemah nya
tetap	tetap
pemutakhirannya	pen mutakhir an nya
retak	retak
persneling	persneling
kusampaikan	ku sampai kan
ular	ular
mempersiapkannya	men siap kan nya
meluluskan	men lulus kan
diawasi	di awas i
dusun	dusun
menginginkannya	men ingin kan nya
pilihnya	pilih nya
pengasih	pen kasih
antarbidang	antar bidang
dikategori	di kategori
nasabah	nasabah
jemu	jemu
diternakkan	di ternak kan
gundul	gundul
diungkapkan	di ungkap kan
terdampak	ter dampak
lahannya	lahan nya
pembina	pen bina
didalam	di dalam
karyanya	karya nya
berupa	ber rupa
laporan	lapor an
dibangku	di bangku
sumatra	sumatra
mendekatkan	men dekat kan
andil	andil
tertua	ter tua
ranjang	ranjang
terjaganya	ter jaga nya
pantai	pantai
penyamaran	pen samar an
pembenahan	pen benah an
berartinya	ber arti nya
kemungkinan	kemungkinan
menyebutnya	men sebut nya
mengindikasikan	men indikasi kan
pekerjaan	pekerja an
dipercaya	di percaya
mencampuri	men campur i
kiranya	kira nya
menjembatani	men jembatan i
patroli	patroli
dimeriahkan	di meriah kan
mengimplementasi	men implementasi
pengolahan	pen olah an
melempar	men lempar
presiden	presiden
dijejali	di jejal i
tangani	tangan i
penggalian	pen gali an
datar	datar
mampu	mampu
logonya	logo nya
direkam	di rekam
berperingkat	ber peringkat
pelat	pelat
pemerannya	pen peran nya
kisaran	kisar an
dituntaskan	di tuntas kan
sabotase	sabotase
mudahnya	mudah nya
berandil	ber andil
bersentuhan	ber sentuh an
penyeragaman	pen seragam an
volume	volume
sekawasan	se kawasan
mengecewakan	men kecewa kan
lama	lama
masalahnya	masalah nya
diredam	di redam
pencanangan	pen canang an
perburuhan	per buruh an
wabah	wabah
sedarah	se darah
menyambutku	men sambut ku
murni	murni
gagal	gagal
gawang	gawang
berhitung	ber hitung
pemuji	pen puji
berair	ber air
seisi	se isi
koloni	koloni
mencerminkan	men cermin kan
frekuensinya	frekuensi nya
retribusi	retribusi
jamuan	jamu an
kaumnya	kaum nya
mengenalnya	men kenal nya
kesal	kesal
membangkitkan	men bangkit kan
ibaratnya	ibarat nya
peraturan	per atur an
melunasinya	men lunas i nya
manis	manis
pertanian	per tani an
drama	drama
menimpanya	men timpa nya
anda	anda
pemeriksa	pen periksa
pemancing	pen pancing
tingkatnya	tingkat nya
putus	putus
karier	karier
bendahara	bendahara
urus	urus
dayanya	daya nya
areal	areal
disibukkan	di sibuk kan
menghemat	men hemat
indikatornya	indikator nya
olimpiade	olimpiade
memperbincangkan	men bincang kan
melimpahi	men limpah i
mobilitas	mobilitas
dagangannya	dagang an nya
diboboli	di bobol i
dagingnya	daging nya
ditangkap	di tangkap
termahal	ter mahal
sekecil	se kecil
bermekaran	ber mekar an
navigasi	navigasi
turki	turki
perbuatanmu	per buat an mu
ditinggal	di tinggal
menyetir	men setir
dijumpai	di jumpa i
mengumandangkan	men kumandang kan
menanyai	men tanya i
jabodetabek	jabodetabek
ditentukan	di tentu kan
dampak	dampak
menyerahkannya	men serah kan nya
internasional	internasional
efektivitasnya	efektivitas nya
bahasanya	bahasa nya
mendelegasikan	men delegasi kan
disejajarkan	di sejajar kan
bertukar	ber tukar
mengurut	men urut
terukir	ter ukir
sesat	sesat
penyediaan	pen sedia an
kaisar	kaisar
personel	personel
wujud	wujud
rumput	rumput
ladang	ladang
digembalakan	di gembala kan
temanmu	teman mu
batalkan	batal kan
mengagumkan	men kagum kan
mengikrarkan	men ikrar kan
imigran	imigran
usahakan	usaha kan
pesta	pesta
komunitas	komunitas
kacang	kacang
antarkegiatan	antar ke giat an
menjala	men jala
keperluan	ke perlu an
melebihkan	men lebih kan
garapan	garap an
terakomodasi	ter akomodasi
adonan	adon an
kompeten	kompeten
teliti	teliti
miskin	miskin
garis	garis
pihaknya	pihak nya
mencegah	men cegah
menentukan	men tentu kan
pengkhianatan	pen khianat an
sholat	sholat
dimensi	dimensi
pembinaan	pen bina an
rintangannya	rintang an nya
lautan	laut an
pemesanan	pen pesan an
diperluas	di per luas
mempertanggungjawabkan	men tanggungjawab kan
bingung	bingung
tukang	tukang
keruh	keruh
pencacahan	pen cacah an
dihadapi	di hadap i
tanah	tanah
misteri	misteri
diikutsertakannya	di ikutserta kan nya
bertatap	ber tatap
disuntik	di suntik
defensif	defensif
memanfaatkannya	men manfaat kan nya
mengungkapkan	men ungkap kan
sekotak	se kotak
teguran	tegur an
diwawancarai	di wawancara i
rohani	rohani
menduga	men duga
konteks	konteks
melaut	men laut
tahap	tahap
secepat	se cepat
ajarannya	ajar an nya
memandunya	men pandu nya
perijinan	per ijin an
bubur	bubur
penerimaan	pen terima an
prospeknya	prospek nya
dipersatukan	di per satu kan
penetapan	pen tetap an
dirombak	di rombak
terjaminnya	ter jamin nya
dilanda	di landa
berpacu	ber pacu
merepresentasikan	men representasi kan
encer	encer
hantam	hantam
bersihkan	bersih kan
pengaudit	pen audit
polanya	pola nya
manajerial	manajerial
dilaksanakan	di laksana kan
pesawatnya	pesawat nya
didedikasikan	di dedikasi kan
berakhirnya	ber akhir nya
memprakarsai	men prakarsa i
suspensi	suspensi
kumiliki	ku milik i
kritik	kritik
buka	buka
bersumber	ber sumber
anugerahkan	anugerah kan
berkepentingan	ber ke penting an
berwarna	ber warna
menampilkan	men tampil kan
palungan	palung an
perbatasan	per batas an
ramalan	ramal an
hancurnya	hancur nya
pemberantasan	pen berantas an
menyepakati	men sepakat i
bersukacita	ber sukacita
berwawasan	ber wawasan
amarahnya	amarah nya
perkataan	per kata an
pinjamannya	pinjam an nya
dikoordinasi	di koordinasi
berkumpul	ber kumpul
membongkar	men bongkar
tamak	tamak
disimpulkan	di simpul kan
harian	hari an
penolongku	pen tolong ku
pekerjaanmu	pekerja an mu
abaikan	abai kan
disajikan	di saji kan
bergurau	ber gurau
berbunga	ber bunga
diamanatkan	di amanat kan
konferensi	konferensi
barat	barat
mengantri	men antri
pemboman	pen bom an
mengisahkan	men kisah kan
haknya	hak nya
kompetisi	kompetisi
hilang	hilang
terbaca	ter baca
lunturnya	luntur nya
lawannya	lawan nya
ketimun	ketimun
mengangsur	men angsur
mainan	main an
sunyi	sunyi
berdedikasi	ber dedikasi
raksasa	raksasa
awalnya	awal nya
luas	luas
bagus	bagus
kemukakan	kemuka kan
terbaru	ter baru
pegawai	pegawai
menggemukkannya	men gemuk kan nya
obatan	obat an
dibimbing	di bimbing
berada	ber ada
sambutan	sambut an
menuliskannya	men tulis kan nya
pemahamannya	pen paham an nya
lalui	lalu i
melupakan	men lupa kan
menanggung	men tanggung
perwakilannya	per wakil an nya
berotak	ber otak
paskah	paskah
ditopang	di topang
diteladankan	di teladan kan
penurunannya	pen turun an nya
mengasari	men kasar i
cabai	cabai
tekad	tekad
terjawab	ter jawab
penghormatan	pen hormat an
turis	turis
instalasi	instalasi
berkesan	ber kesan
makamnya	makam nya
kokpitnya	kokpit nya
daerahnya	daerah nya
dibutuhkannya	di butuh kan nya
bank	bank
perspektif	perspektif
peminjaman	pen pinjam an
kejatuhan	ke jatuh an
ekonomis	ekonomis
wawasannya	wawasan nya
didapatnya	di dapat nya
terhenti	ter henti
usang	usang
kejadiannya	ke jadi an nya
ayah	ayah
andal	andal
masehi	masehi
anugerah	anugerah
menuruni	men turun i
disembelih	di sembelih
takut	takut
antagonis	antagonis
mempertegas	men tegas
sampel	sampel
dimusyawarahkan	di musyawarah kan
kabur	kabur
potensi	potensi
dicarinya	di cari nya
maksud	maksud
penyayang	pen sayang
pemantauan	pen pantau an
nafas	nafas
catatan	catat an
mengakhirinya	men akhir i nya
cd	cd
terserah	ter serah
seksama	seksama
dikucilkan	di kucil kan
dikonsumsi	di konsumsi
menangkal	men tangkal
memamerkan	men pamer kan
membuang	men buang
ruu	ruu
bersemayam	ber semayam
teh	teh
syairnya	syair nya
dievaluasi	di evaluasi
diakui	di aku i
frekuensi	frekuensi
tuli	tuli
mendistribusi	men distribusi
menghabiskannya	men habis kan nya
dijelajahi	di jelajah i
beban	beban
mempermudah	men mudah
mengusir	men usir
planet	planet
dialirkan	di alir kan
dimuntahkan	di muntah kan
sensor	sensor
dikutuk	di kutuk
dipikirkannya	di pikir kan nya
penangguhan	pen tangguh an
tepatnya	tepat nya
merajalela	men rajalela
petunjuknya	petunjuk nya
sebarannya	sebar an nya
salah	salah
meminimalkan	men minimal kan
pusing	pusing
mengambilkan	men ambil kan
rekreasi	rekreasi
merebut	men rebut
disamping	di samping
memprediksi	men prediksi
mengadopsi	men adopsi
perikanannya	per ikan an nya
istilah	istilah
tindak	tindak
bibinya	bibi nya
struktur	struktur
mengenakan	men kena kan
cantik	cantik
dikukuhkan	di kukuh kan
menyusul	men susul
mengumpulkannya	men kumpul kan nya
curang	curang
sucikan	suci kan
rindukan	rindu kan
terdesentralisasi	ter desentralisasi
balai	bala i
anjlok	anjlok
pendayagunaan	pen dayaguna an
dilenyapkan	di lenyap kan
perisai	perisai
duta	duta
kantornya	kantor nya
rasionya	rasio nya
tradisi	tradisi
realistis	realistis
mempersatukan	men satu kan
pendosa	pen dosa
pendahulu	pendahulu
reformasi	reformasi
tembok	tembok
penyebarluasan	pen sebarluas an
hormati	hormat i
penutup	pen tutup
persnelingnya	persneling nya
berdatangan	ber datang an
hamparan	hampar an
pelayanan	pen layan an
dipegangnya	di pegang nya
nyatanya	nyata nya
mengembalikan	men kembali kan
menyesali	men sesal i
menyisihkan	men sisih kan
borong	borong
mendewakan	men dewa kan
terjepit	ter jepit
menempati	men tempat i
mengutip	men kutip
pencarian	pen cari an
solidaritas	solidaritas
terpintar	ter pintar
pesaing	pesaing
berlalu	ber lalu
dilampirkan	di lampir kan
meningkatnya	men tingkat nya
menandatangani	men tandatangan i
meratap	men ratap
menggulirkan	men gulir kan
pencegahan	pen cegah an
mendasarkan	men dasar kan
kerabat	kerabat
membungkuk	men bungkuk
eksteriornya	eksterior nya
dusta	dusta
akhirat	akhirat
ejekan	ejek an
membujuk	men bujuk
pizza	pizza
kelapanya	kelapa nya
mengendarainya	men kendara i nya
food	food
metrologi	metrologi
jambangan	jambang an
kerumunan	kerumun an
diulangi	di ulang i
gawat	gawat
membelenggu	men belenggu
membolehkan	men boleh kan
hambatan	hambat an
memesan	men pesan
mengobarkan	men kobar kan
pembuktian	pen bukti an
tembak	tembak
cemar	cemar
taksir	taksir
menyuntikkan	men suntik kan
ahlinya	ahli nya
kalkun	kalkun
utamanya	utama nya
menjatahkan	men jatah kan
mengusik	men usik
merayu	men rayu
mengkampanyekan	men kampanye kan
ringkasan	ringkas an
menyimaknya	men simak nya
terhibur	ter hibur
sanggup	sanggup
terpengaruh	ter pengaruh
menurun	men turun
besi	besi
suku	suku
kendali	kendali
bersih	bersih
dinamakan	di nama kan
pemantapan	pen mantap an
berkarakteristik	ber karakteristik
rinciannya	rinci an nya
persaingannya	per saing an nya
berbasiskan	ber basis kan
menghadang	men hadang
penyataan	pen nyata an
menganyam	men anyam
depanmu	depan mu
mencerahkan	men cerah kan
tuntutannya	tuntut an nya
ilmuwan	ilmu wan
korup	korup
nominasi	nominasi
ditempel	di tempel
dipelihara	di pelihara
aparat	aparat
bulat	bulat
bergoncang	ber goncang
acuh	acuh
angkat	angkat
taninya	tani nya
tomat	tomat
buat	buat
pemilik	pen milik
menempatkannya	men tempat kan nya
diraihnya	di raih nya
persiapannya	per siap an nya
tertulis	ter tulis
berdagang	ber dagang
bersengketa	ber sengketa
membentuk	men bentuk
hitungan	hitung an
menumpasnya	men tumpas nya
berdosa	ber dosa
terbawah	ter bawah
nafsunya	nafsu nya
perkataanmu	per kata an mu
petani	petani
terbakar	ter bakar
antarstatus	antar status
membersihkan	men bersih kan
berharga	ber harga
mengoleskan	men oles kan
bernyanyi	ber nyanyi
dipadati	di padat i
kawin	kawin
akuntabilitasnya	akuntabilitas nya
masyarakat	masyarakat
dipisah	di pisah
penakluk	pen takluk
terusik	ter usik
dijamin	di jamin
antarmitra	antar mitra
menggantikannya	men ganti kan nya
pengorganisasian	pen organisasi an
jasanya	jasa nya
lemaknya	lemak nya
menginginkan	men ingin kan
zat	zat
kota	kota
terpadat	ter padat
optimisme	optimisme
mengering	men kering
statusnya	status nya
pesanan	pesan an
turun	turun
peluru	peluru
menempuhnya	men tempuh nya
badan	badan
kristal	kristal
terkejut	ter kejut
kepimpinan	ke pimpin an
rekor	rekor
mengapit	men apit
pendengarnya	pen dengar nya
dieksekusi	di eksekusi
memampukan	men mampu kan
menyebar	men sebar
ragi	ragi
kombinasi	kombinasi
rambutan	rambut an
musuhmu	musuh mu
dideskripsikan	di deskripsi kan
mengasingkan	men asing kan
penggelapan	pen gelap an
monitornya	monitor nya
pengiring	pen iring
pancaran	pancar an
majikan	majikan
barisan	baris an
jarahan	jarah an
adiknya	adik nya
menghadirkan	men hadir kan
jerat	jerat
tanggapan	tanggap an
sindikat	sindikat
pengenal	pen kenal
memukuli	men pukul i
menerapkannya	men terap kan nya
menyiarkannya	men siar kan nya
bertekad	ber tekad
sahut	sahut
ishak	ishak
jabatannya	jabat an nya
berpakaian	ber pakai an
dramatis	dramatis
berkesudahan	ber ke sudah an
infrastruktur	infrastruktur
merekonstruksi	men rekonstruksi
pengemis	pen kemis
derita	derita
mencukupinya	men cukup i nya
denpasar	denpasar
lontarkan	lontar kan
pelaksananya	pen laksana nya
digodok	di godok
mengakar	men akar
dihasilkan	di hasil kan
penyelang	pen selang
menyikat	men sikat
instan	instan
serinci	se rinci
dilalui	di lalu i
tidurku	tidur ku
laksanakan	laksana kan
sukacitamu	sukacita mu
tergenang	ter genang
pasar	pasar
telak	telak
diyakininya	di yakin i nya
implikasi	implikasi
pengrusakan	pen rusak an
layak	layak
permasalahan	per masalah an
menanggulanginya	men tanggulang i nya
optimistis	optimistis
mendalami	men dalam i
berkecukupan	ber ke cukup an
membacakan	men baca kan
penggembala	pen gembala
diwujudkan	di wujud kan
penyaliban	pen salib an
timur	timur
dicukur	di cukur
baca	baca
positifnya	positif nya
tersandung	ter sandung
beragi	ber ragi
dikemas	di kemas
tanggung	tanggung
pembersihan	pen bersih an
mendidiknya	men didik nya
bangkit	bangkit
mengenakannya	men kena kan nya
membelanjakannya	men belanja kan nya
tujuannya	tuju an nya
halus	halus
menyajikan	men saji kan
katak	katak
aduk	aduk
tempel	tempel
idenya	ide nya
mengungkap	men ungkap
ramalannya	ramal an nya
lembar	lembar
minimum	minimum
likuiditas	likuiditas
dikonsentrasikan	di konsentrasi kan
antrian	antri an
pucuk	pucuk
eksperimen	eksperimen
naikkan	naik kan
ancaman	ancam an
baiknya	baik nya
memanennya	men panen nya
mendaratkannya	men darat kan nya
mengunjunginya	men kunjung i nya
penenun	pen tenun
seberat	se berat
tercepat	ter cepat
tebalnya	tebal nya
ketidakjelasan	ke tidak jelas an
binatang	binatang
mengamati	men amati
penegasan	pen tegas an
soalnya	soal nya
april	april
seks	seks
memajukan	men maju kan
kau	kau
berkompetisi	ber kompetisi
tumpangan	tumpang an
budak	budak
bandung	bandung
berkilauan	ber kilau an
lingkar	lingkar
relatif	relatif
seyogyanya	se yogya nya
skala	skala
menyobek	men sobek
rutinitasnya	rutinitas nya
tersembunyi	ter sembunyi
menggemakan	men gema kan
karirnya	karir nya
janjinya	janji nya
menargetkan	men target kan
memecat	men pecat
privat	privat
manajemen	manajemen
kualifikasinya	kualifikasi nya
diistilahkan	di istilah kan
pertentangan	per tentang an
kamu	kamu
berkarat	ber karat
kebungkaman	ke bungkam an
melarang	men larang
kedudukannya	ke duduk an nya
melecehkan	men leceh kan
dipelajari	di pelajar i
didefinisikan	di definisi kan
mengejarnya	men kejar nya
guncangan	guncang an
memetakan	men peta kan
profesor	profesor
disoroti	di sorot i
disebutkan	di sebut kan
semenarik	se menarik
mengabdikan	men abdi kan
ketidaksiapan	ke tidak siap an
menyalahi	men salah i
teladan	teladan
lebih	lebih
permohonannya	per mohon an nya
ibuku	ibu ku
restorasi	restorasi
berkendara	ber kendara
cairan	cair an
tersisa	ter sisa
mawar	mawar
kilang	kilang
dibawa	di bawa
didapatkan	di dapat kan
bubar	bubar
pelayananku	pen layan an ku
dituangkan	di tuang kan
mencemarkan	men cemar kan
perenang	pen renang
dipandu	di pandu
subjektivitasnya	subjektivitas nya
serahkan	serah kan
terdidik	ter didik
kata	kata
berlatar	ber latar
hatiku	hati ku
tunjangannya	tunjang an nya
takarannya	takar an nya
persoalannya	per soal an nya
wilayahnya	wilayah nya
melatarbelakanginya	men latarbelakang i nya
mengakomodasikan	men akomodasi kan
terbenam	ter benam
farmasi	farmasi
berkualitas	ber kualitas
kamus	kamus
dipertanyakan	di per tanya kan
kucingnya	kucing nya
bertingkah	ber tingkah
membuktikannya	men bukti kan nya
tatapannya	tatap an nya
sedih	sedih
diartikan	di arti kan
terpentingnya	ter penting nya
muhammad	muhammad
menyuruh	men suruh
survey	survey
dilema	dilema
dijelang	di jelang
penyelenggara	pen selenggara
cek	cek
menyaring	men saring
napasnya	napas nya
efisien	efisien
lebat	lebat
kembalikan	kembali kan
merobohkan	men roboh kan
peraga	pen raga
jasad	jasad
melumpuhkan	men lumpuh kan
pedagang	pedagang
mentransfer	men transfer
menetapkannya	men tetap kan nya
warga	warga
aborsi	aborsi
disertifikasi	di sertifikasi
lingkungannya	lingkung an nya
memadainya	memadai nya
mewawancarainya	men wawancara i nya
kuartal	kuartal
kampusnya	kampus nya
mematahkan	men patah kan
mewarnai	men warna i
merespons	men respons
ikannya	ikan nya
dijualnya	di jual nya
deras	deras
ongkos	ongkos
isterinya	isteri nya
memperpanjang	men panjang
pesannya	pesan nya
menghitungnya	men hitung nya
berkemungkinan	ber kemungkinan
menganggarkan	men anggar kan
mahalnya	mahal nya
transisi	transisi
disalib	di salib
menginginkanmu	men ingin kan mu
putra	putra
bertengger	bertengger
keluarganya	keluarga nya
menggolongkan	men golong kan
legal	legal
komisaris	komisaris
menyerukan	men seru kan
profesionalnya	profesional nya
pemaksaan	pen paksa an
menandingi	men tanding i
diperingatkan	di per ingat kan
mendistribusikannya	men distribusi kan nya
menyayangkan	men sayang kan
berpartisipasi	ber partisipasi
mempertanggungjawabkannya	men tanggungjawab kan nya
menepati	men tepat i
menyatu	men satu
terlebih	ter lebih
penindakan	pen tindak an
bermunculan	ber muncul an
tentunya	tentu nya
dibaharui	di baharu i
disalin	di salin
pembakaran	pen bakar an
penyelaras	pen selaras
menembus	men tembus
pesanannya	pesan an nya
berdinas	ber dinas
sulitnya	sulit nya
pengelolanya	pen kelola nya
belalai	belalai
alfabet	alfabet
kompromi	kompromi
strategis	strategis
akrab	akrab
berkomunikasi	ber komunikasi
dites	di tes
dikeringkan	di kering kan
menyebalkan	men sebal kan
daftarnya	daftar nya
berpindahnya	ber pindah nya
ditinggalkannya	di tinggal kan nya
binasa	binasa
memetik	men petik
mendapatkannya	men dapat kan nya
mendiskriminasi	men diskriminasi
kebangkitan	ke bangkit an
antarpengurus	antar pen urus
menunjukkannya	men tunjuk kan nya
penyebaran	pen sebar an
terbantahkan	ter bantah kan
luasnya	luas nya
dilanggar	di langgar
kentang	kentang
mengelompokkan	men kelompok kan
pencemaran	pen cemar an
longgarnya	longgar nya
ditanamkan	di tanam kan
pahitnya	pahit nya
terpandai	ter pandai
bloknya	blok nya
cetakan	cetak an
karya	karya
mempraktekkan	men praktek kan
bertumbuh	ber tumbuh
angkasa	angkasa
pentingnya	penting nya
mustahil	mustahil
lapak	lapak
jalurnya	jalur nya
lokasinya	lokasi nya
menghiraukan	men hirau kan
awal	awal
menggenggam	men genggam
subjek	subjek
konsolidasi	konsolidasi
menggesernya	men geser nya
beliau	beliau
kelopak	kelopak
tertib	tertib
dikendarainya	di kendara i nya
sentral	sentral
kabul	kabul
menggarap	men garap
serukan	seru kan
kliennya	klien nya
disederhanakan	di sederhana kan
ditembak	di tembak
maknanya	makna nya
menjadwal	men jadwal
meja	meja
diwariskan	di waris kan
terpisahkan	ter pisah kan
berjualan	ber jual an
tahan	tahan
berpengetahuan	ber pengetahuan
bak	bak
amerika	amerika
sayuran	sayur an
pekerja	pekerja
mengkombinasikan	men kombinasi kan
teluk	teluk
keturunannya	ke turun an nya
beraneka	ber aneka
sehat	sehat
merekrut	men rekrut
dirampok	di rampok
dipercayakan	di percaya kan
perzinaan	per zina an
semak	semak
simpulan	simpul an
bagusnya	bagus nya
penularan	pen tular an
melenyapkan	men lenyap kan
khas	khas
dicurahkan	di curah kan
berlebih	ber lebih
tercanggih	ter canggih
struktural	struktural
satelit	satelit
emosionalnya	emosional nya
istrinya	istri nya
penjatahan	pen jatah an
dirusak	di rusak
mengirimi	men kirim i
topeng	topeng
dasawarsa	dasawarsa
seporsi	se porsi
akademis	akademis
pengenaan	pen kena an
menipu	men tipu
akurasinya	akurasi nya
menyiram	men siram
menjaganya	men jaga nya
kompilasi	kompilasi
pengacau	pen kacau
asi	as i
kameranya	kamera nya
ulang	ulang
fajar	fajar
sepedanya	sepeda nya
zakat	zakat
kenangan	kenang an
berusia	ber usia
pendam	pendam
aktifitas	aktifitas
berkat	berkat
ditabur	di tabur
terimakasih	terimakasih
perangkap	pen rangkap
asosiasi	asosiasi
fasik	fasik
pemukimannya	pen mukim an nya
didasarkan	di dasar kan
perhatianku	per hati an ku
dialokasi	di alokasi
campuran	campur an
diberi	di beri
mencukupi	men cukup i
terompetnya	terompet nya
pemimpin	pen pimpin
pengamat	pengamat
ditinggalkan	di tinggal kan
disumbang	di sumbang
didengarnya	di dengar nya
penderita	pen derita
rendahan	rendah an
aktifitasnya	aktifitas nya
menabrak	men tabrak
dihakimi	di hakim i
pertemanan	per teman an
lini	lini
menaatinya	men taat i nya
kertasnya	kertas nya
diseleksi	di seleksi
disegarkan	di segar kan
pasir	pasir
durhaka	durhaka
nampak	nampak
mungilnya	mungil nya
ketidakaktifan	ke tidak aktif an
hikmatnya	hikmat nya
wawancarai	wawancara i
prasarananya	prasarana nya
sempurna	sempurna
percobaan	per coba an
pancing	pancing
mengklasifikasi	men klasifikasi
peritel	pen ritel
berserakan	ber serak an
bertakhta	ber takhta
keran	keran
advokat	advokat
timbunan	timbun an
ditandatangani	di tandatangan i
tenaga	tenaga
susukan	susu kan
produktivitasnya	produktivitas nya
gagang	gagang
diprediksi	di prediksi
arena	arena
taat	taat
bakan	bak an
sebatas	se batas
kakak	kakak
jiwaku	jiwa aku
perobohan	pen roboh an
mengawasinya	men awas i nya
menulis	men tulis
membolos	men bolos
panggang	panggang
membuatmu	men buat mu
pundak	pundak
berhutang	ber hutang
menyetorkannya	men setor kan nya
daftarkan	daftar kan
leher	leher
berkontribusi	ber kontribusi
diingat	di ingat
tindih	tindih
dibenci	di benci
