halnya	hal nya
perbantahan	per bantah an
bertumpuk	ber tumpuk
tipis	tipis
diperkuat	di per kuat
swedia	swedia
mencantumkan	men cantum kan
diwakili	di wakil i
payudara	payudara
penebal	pen tebal
kurasa	ku rasa
disuapi	di suap i
kemungkinannya	kemungkinan nya
dukungan	dukung an
dikendorkan	di kendor kan
dikeringkan	di kering kan
rumput	rumput
penggaris	pen garis
menanggapinya	men tanggap i nya
saingan	saing an
terpola	ter pola
kesal	kesal
dievaluasi	di evaluasi
penyidikan	pen sidik an
penargetan	pen target an
tinggi	tinggi
teknis	teknis
susulan	susul an
berlokasi	ber lokasi
memperkosa	men perkosa
penampung	pen tampung
membuat	men buat
katalog	katalog
urut	urut
profesionalnya	profesional nya
berinteraksi	ber interaksi
aumannya	aum an nya
penakluk	pen takluk
kupas	kupas
kirim	kirim
diadopsi	di adopsi
memperkirakan	men kira kan
giliran	gilir an
pengamanan	pen aman an
jantan	jantan
belalang	belalang
terlaksana	ter laksana
ajakan	ajak an
murid	murid
bermanfaat	ber manfaat
dingin	dingin
memalsukan	men palsu kan
maju	maju
sampaikan	sampai kan
meninggalnya	men tinggal nya
diwarisinya	di waris i nya
menegangkan	men tegang kan
sepele	sepele
pembukuan	pen buku an
anggukan	angguk an
berserikat	ber serikat
berdamai	ber damai
ketidakaktifan	ke tidak aktif an
berujar	ber ujar
natur	natur
rajanya	raja nya
sesamamu	se sama mu
dihapuskannya	di hapus kan nya
diusung	di usung
seyogyanya	se yogya nya
analogi	analog i
dihadapkan	di hadap kan
aplikasi	aplikasi
segi	segi
tongkatnya	tongkat nya
sel	sel
rekonstruksi	rekonstruksi
teman	teman
materi	materi
pengangkut	pen angkut
impiannya	impian nya
pengaturan	pen atur an
pemberantasan	pen berantas an
tema	tema
dites	di tes
nafsunya	nafsu nya
terstruktur	ter struktur
hariannya	hari an nya
menaiki	men naik i
mencipratkan	men ciprat kan
tukar	tukar
mendukung	men dukung
berkenaan	ber kena an
diubahkan	di ubah kan
diserahi	di serah i
persaudaraan	per saudara an
mempelajarinya	men pelajar i nya
suksesi	sukses i
dipuji	di puji
akademik	akademik
dihadiahi	di hadiah i
peran	peran
bola	bola
curian	curi an
ditenderkan	di tender kan
menyerukan	men seru kan
murah	murah
menyibak	men sibak
optimalnya	optimal nya
pemenuhan	pen penuh an
penggantinya	pen ganti nya
lantang	lantang
mengabaikan	men abai kan
perairan	per air an
berbuntut	ber buntut
menyemangati	men semangat i
membatasi	men batas i
terdokumentasi	ter dokumentasi
komputer	komputer
digaji	di gaji
jangka	jangka
kuabaikan	ku abai kan
detektif	detektif
diberlakukannya	di ber laku kan nya
kampung	kampung
melimpahi	men limpah i
bungkus	bungkus
dirancang	di rancang
melemahnya	men lemah nya
mulia	mulia
merusak	men rusak
hadir	hadir
serap	serap
penelaahan	pen telaah an
mencuci	men cuci
antiseparatis	anti separatis
berjangka	ber jangka
berpacaran	ber pacar an
eternitnya	eternit nya
ditargetkan	di target kan
penumpangan	pen tumpang an
gunakan	guna kan
dicocokkan	di cocok kan
dek	dek
kagum	kagum
penggantian	pen ganti an
pelindungnya	pen lindung nya
apresiasinya	apresiasi nya
kerjasama	kerjasama
pasif	pasif
menanjak	men tanjak
menyusuri	men susur i
merekatkan	men rekat kan
duta	duta
status	status
melacak	men lacak
penghilang	pen hilang
merdeka	merdeka
ketidakefisienan	ke tidak efisien an
berkemungkinan	ber kemungkinan
mengaksesnya	men akses nya
menegakkan	men tegak kan
prosedurnya	prosedur nya
mudanya	muda nya
bergurau	ber gurau
layar	layar
dibalik	di balik
terbiasa	ter biasa
penghuni	pen huni
antri	antri
dianggarkan	di anggar kan
dipantau	di pantau
cairnya	cair nya
sedekahmu	sedekah mu
rupiah	rupiah
memburu	men buru
diberitahukan	di beritahu kan
mencemaskan	men cemas kan
memobilisasi	men mobilisasi
antartingkat	antar tingkat
berdosa	ber dosa
mewujudkannya	men wujud kan nya
pembengkakan	pen bengkak an
oktober	oktober
wadah	wadah
berlabuh	ber labuh
penuh	penuh
arsip	arsip
mengutarakan	men utara kan
direkomendasikan	di rekomendasi kan
otonominya	otonomi nya
kinerjanya	kinerja nya
mencukupkan	men cukup kan
didukungnya	di dukung nya
berorang	ber orang
mencela	men cela
kreditnya	kredit nya
berpandangan	ber pandang an
membawahi	men bawah i
hektare	hektare
kendalanya	kendala nya
selusin	se lusin
sanjungan	sanjung an
terguncang	ter guncang
dibangku	di bangku
menguat	men kuat
menjerat	men jerat
dilarang	di larang
pembahasannya	pen bahas an nya
diperanakkan	di per anak kan
perikanannya	per ikan an nya
fisik	fisik
cerah	cerah
memasyarakat	men masyarakat
tersentak	ter sentak
pembibitan	pen bibit an
olahraga	olahraga
bebanmu	beban mu
perhambaan	per hamba an
alarm	alarm
iblis	iblis
berkualitas	ber kualitas
mengoleskan	men oles kan
gosip	gosip
dirumuskan	di rumus kan
terjatuh	ter jatuh
berlangsung	ber langsung
milik	milik
kuponnya	kupon nya
terbayang	ter bayang
prajurit	prajurit
memudarkan	men pudar kan
tempatkan	tempat kan
utusan	utus an
ungkap	ungkap
indonesia	indonesia
menyaingi	men saing i
singapura	singapura
teknologi	teknologi
dititipi	di titip i
terpikirkan	ter pikir kan
terukir	ter ukir
terbalik	ter balik
dini	din i
mencontohkan	men contoh kan
bertingkat	ber tingkat
mengendurkan	men kendur kan
pertimbangan	per timbang an
mempersiapkannya	men siap kan nya
seindah	se indah
topi	top i
peradilan	per adil an
terbaru	ter baru
membatalkan	men batal kan
nasib	nasib
berbahasa	ber bahasa
menghalau	men halau
perizinan	per izin an
berfikir	ber fikir
meksiko	meksiko
sekurangnya	se kurang nya
tertawa	ter tawa
optimis	optimis
perkantoran	per kantor an
dagingnya	daging nya
rindukan	rindu kan
menjajakan	men jaja kan
memelihara	men pelihara
berminat	ber minat
liberal	liberal
alat	alat
mengarahkanku	men arah kan ku
menerkam	men terkam
terhormat	ter hormat
bermasyarakat	ber masyarakat
gempa	gempa
gumpalan	gumpal an
bencana	bencana
datar	datar
menghadang	men hadang
berbohong	ber bohong
pendapatnya	pen dapat nya
pengumumannya	pen umum an nya
diminati	di minat i
dikontrakkan	di kontrak kan
pemusnahan	pen musnah an
bos	bos
didengungkan	di dengung kan
mengikisnya	men kikis nya
ajaranmu	ajar an mu
distribusinya	distribusi nya
peduli	peduli
dimata	di mata
pencarian	pen cari an
luka	luka
warga	warga
ditahun	di tahun
gula	gula
allah	allah
mawar	mawar
penyayang	pen sayang
wajah	wajah
persatuan	per satu an
terselenggaranya	ter selenggara nya
pencapaiannya	pen capai an nya
terformulasi	ter formulasi
tulisannya	tulis an nya
antipesawat	anti pesawat
alokasinya	alokasi nya
nyatanya	nyata nya
meresponnya	men respon nya
klip	klip
pelikan	pelik an
klaim	klaim
dicurangi	di curang i
cemburu	cemburu
wakil	wakil
mogok	mogok
titik	titik
matiku	mati ku
direndahkan	di rendah kan
membayangi	men bayang i
koperasi	koperasi
menjala	men jala
tol	tol
berbisik	ber bisik
maut	maut
penilik	pen tilik
kafein	kafein
dikeluarkannya	di keluar kan nya
menyebarluaskan	men sebarluas kan
kupikir	ku pikir
diledakkan	di ledak kan
personelnya	personel nya
berenang	ber renang
menyalurkannya	men salur kan nya
pembinaan	pen bina an
langkah	langkah
partisipasinya	partisipasi nya
memperebutkan	men rebut kan
diawali	di awal i
anggota	anggota
diverifikasi	di verifikasi
membolos	men bolos
hurufnya	huruf nya
letih	letih
berbuah	ber buah
dinasnya	dinas nya
menyandarkan	men sandar kan
berpaling	ber paling
diperkenalkannya	di per kenal kan nya
yunus	yunus
ngomongnya	ngomong nya
penanggulangannya	pen tanggulang an nya
penunggakan	pen tunggak an
memusnahkan	men musnah kan
konstitusi	konstitusi
vonis	vonis
pemodal	pen modal
beternak	beternak
angsa	angsa
diterima	di terima
memekakkan	men pekak kan
menceritakan	men cerita kan
dimutakhirkan	di mutakhir kan
suku	suku
efektif	efektif
bermula	ber mula
food	food
berdenyut	ber denyut
bak	bak
warisannya	waris an nya
omzetnya	omzet nya
longgarnya	longgar nya
lantai	lantai
lamban	lamban
ditutup	di tutup
investigasinya	investigasi nya
menghilangnya	men hilang nya
melanggarnya	men langgar nya
ampas	ampas
daftar	daftar
identik	identik
turbin	turbin
domisili	domisili
spesifik	spesifik
pembantuan	pen bantu an
filipina	filipina
menjual	men jual
permintaannya	per minta an nya
difoto	di foto
berdurasi	ber durasi
didata	di data
senjatanya	senjata nya
batuan	batu an
praktisnya	praktis nya
berhubung	ber hubung
drama	drama
anugerah	anugerah
didapatnya	di dapat nya
angsurannya	angsur an nya
menukar	men tukar
putra	putra
penjelajah	pen jelajah
omongnya	omong nya
dilengkapi	di lengkap i
menggaji	men gaji
klasik	klasik
meminjam	men pinjam
mencadangkan	men cadang kan
keliling	keliling
swalayan	swalayan
antarpengadilan	antar pen adil an
dipertanggungjawabkan	di per tanggungjawab kan
menyepakati	men sepakat i
membebankan	men beban kan
manuver	manuver
tuntutan	tuntut an
elemen	elemen
terampuh	ter ampuh
kamu	kamu
unggul	unggul
sumbangannya	sumbang an nya
memprakarsai	men prakarsa i
produknya	produk nya
biskuit	biskuit
menjunjung	men junjung
mampukan	mampu kan
suksesnya	sukses nya
capnya	cap nya
penggerak	pen gerak
nya	nya
pasal	pasal
pertolongan	per tolong an
mendua	men dua
mencatat	men catat
peregangan	pen regang an
mengkonfirmasi	men konfirmasi
menyerah	men serah
bercahaya	ber cahaya
perbelanjaan	per belanja an
perpajakan	per pajak an
dikurangi	di kurang i
palang	palang
sayuran	sayur an
tercabut	ter cabut
menayangkan	men tayang kan
senin	senin
dusun	dusun
batal	batal
akasia	akasia
pemanfaatnya	pen manfaat nya
ruu	ruu
alamiah	alamiah
gabungan	gabung an
pelanggan	pen langgan
peristiwa	peristiwa
menyesal	men sesal
penggusuran	pen gusur an
pemanjaan	pen manja an
sikap	sikap
dibenahi	di benah i
menyebutnya	men sebut nya
mencintai	men cinta i
kerinduannya	ke rindu an nya
dimobilisasi	di mobilisasi
berkeliaran	ber ke liar an
pencucian	pen cuci an
konteks	konteks
posko	posko
potensialnya	potensial nya
responden	responden
permodalan	per modal an
bidikan	bidik an
santapan	santap an
memberatkan	men berat kan
sepucuk	se pucuk
beranak	ber anak
waktu	waktu
angkatan	angkat an
yayasan	yayasan
berserakan	ber serak an
mencicipi	men cicip i
menyusunnya	men susun nya
pemangku	pen pangku
menuduhnya	men tuduh nya
antusiasmenya	antusiasme nya
pinggir	pinggir
validitas	validitas
penegak	pen tegak
tanya	tanya
tiba	tiba
nyatakan	nyata kan
alamat	alamat
diragukan	di ragu kan
demonstran	demonstran
menerbitkan	men terbit kan
sebarannya	sebar an nya
mengakomodasikan	men akomodasi kan
direstrukturisasi	di restrukturisasi
kotanya	kota nya
pertobatannya	per tobat an nya
tenaganya	tenaga nya
tebus	tebus
tanamannya	tanam an nya
mematahkan	men patah kan
beregenerasi	ber regenerasi
menghibur	men hibur
terlindung	ter lindung
distributor	distributor
keturunanmu	ke turun an mu
kategorisasi	kategorisasi
nontarif	non tarif
diangkut	di angkut
lereng	lereng
pekerjaannya	pekerja an nya
dibentuk	di bentuk
dibersihkan	di bersih kan
memantulkan	men pantul kan
berkekurangan	ber ke kurang an
sekeping	se keping
anemia	anemia
menyantap	men santap
libur	libur
memerlukannya	men perlu kan nya
berkewajiban	ber ke wajib an
mendokumentasi	men dokumentasi
disebarluaskan	di sebarluas kan
penugasan	pen tugas an
dukung	dukung
diakibatkan	di akibat kan
jurang	jurang
berartinya	ber arti nya
menginvestasikan	men investasi kan
penjaga	pen jaga
perencana	pen rencana
bersaudara	ber saudara
diwariskan	di waris kan
mandat	mandat
magnetis	magnetis
tubuh	tubuh
negosiasi	negosiasi
berpuasa	ber puasa
menembus	men tembus
lelaki	lelaki
digunakannya	di guna kan nya
ikan	ikan
arus	arus
hebat	hebat
mengamati	men amati
pemberitaannya	pen berita an nya
tertatanya	ter tata nya
mengorban	men korban
gilanya	gila nya
margasatwa	margasatwa
sifatnya	sifat nya
ingatan	ingat an
memasuki	men masuk i
strata	strata
perkataannya	per kata an nya
independent	independent
tanggung	tanggung
popularitas	popularitas
dicetak	di cetak
memodifikasi	men modifikasi
memasukan	men pasukan
sabotase	sabotase
dijatuhi	di jatuh i
diketahui	di ketahui
restorasi	restorasi
mencakup	men cakup
timahnya	timah nya
berdasar	ber dasar
ditugaskan	di tugas kan
perakitan	pen rakit an
perjudian	per judi an
larut	larut
tertular	ter tular
proyek	proyek
produktivitasnya	produktivitas nya
pasifik	pasifik
gunung	gunung
talentanya	talenta nya
teknisnya	teknis nya
bersertifikat	ber sertifikat
struktur	struktur
pengelompokan	pen kelompok an
mandinya	mandi nya
koper	koper
kekalnya	kekal nya
sabar	sabar
membalasnya	men balas nya
laporan	lapor an
tercengang	ter cengang
menyerang	men serang
menyesatkan	men sesat kan
pertanyaan	per tanya an
jawabku	jawab ku
diibaratkan	di ibarat kan
memagari	men pagar i
salehnya	saleh nya
terpinggir	ter pinggir
menggosokkan	men gosok kan
pendendam	pen dendam
kuku	kuku
diputus	di putus
khotbah	khotbah
tepukan	tepuk an
pendokumentasian	pen dokumentasi an
berperilaku	ber perilaku
tersulit	ter sulit
bertani	ber tani
daftarnya	daftar nya
wujud	wujud
memakainya	men pakai nya
besok	besok
pemberangkatannya	pen berangkat an nya
mengalah	men kalah
mengulurkan	men ulur kan
beraktivitas	ber aktivitas
dikabulkan	di kabul kan
jelek	jelek
ditampilkan	di tampil kan
nafas	nafas
jumat	jumat
berkemampuan	ber ke mampu an
dicarikan	di cari kan
berinduk	ber induk
lubang	lubang
dikawal	di kawal
farmasi	farmasi
diungkapkan	di ungkap kan
pengapalan	pen kapal an
perkenalan	per kenal an
terpana	terpana
inspektur	inspektur
tambaknya	tambak nya
pesatnya	pesat nya
dikalahkan	di kalah kan
membebani	men beban i
merangkul	men rangkul
penyuapan	pen suap an
membuangnya	men buang nya
manfaatnya	manfaat nya
terkasih	ter kasih
kerah	kerah
menyetorkannya	men setor kan nya
sesaat	se saat
bergilir	ber gilir
bunyi	bunyi
menghangatkan	men hangat kan
melambat	men lambat
masai	masa i
digantikan	di ganti kan
menyusun	men susun
keeratan	ke erat an
bergelut	ber gelut
diserap	di serap
sapu	sapu
bongkar	bongkar
merenggut	men renggut
diproduksi	di produksi
sasarannya	sasar an nya
variasinya	variasi nya
permasyarakatan	per masyarakat an
memerankan	men peran kan
lekat	lekat
rawa	rawa
watak	watak
bunuh	bunuh
berpasir	ber pasir
diterbitkannya	di terbit kan nya
musiknya	musik nya
kabur	kabur
disampaikan	di sampai kan
harmonis	harmonis
mengajar	men ajar
rezim	rezim
diteladani	di teladan i
berbaris	ber baris
diinspirasikan	di inspirasi kan
menyayangkan	men sayang kan
lunak	lunak
ditulisi	di tulis i
ranting	ranting
dihindarinya	di hindar i nya
meluap	men luap
sepatah	se patah
dicontoh	di contoh
menganggap	men anggap
sekarat	se karat
mitranya	mitra nya
personel	personel
tercoreng	ter coreng
granat	granat
menghina	men hina
bermartabat	ber martabat
penetrasi	penetrasi
penyalahgunaan	pen salahguna an
kubur	kubur
penyedia	pen sedia
dibabat	di babat
kusebut	ku sebut
didiskualifikasi	di diskualifikasi
pangkal	pangkal
sirip	sirip
retak	retak
menyiram	men siram
terposisikan	ter posisi kan
berkelimpahan	ber ke limpah an
kaku	kaku
bergulat	ber gulat
jengkel	jengkel
pemda	pemda
tiket	tiket
khusus	khusus
memperindah	men indah
tikus	tikus
rasi	ras i
musim	musim
bermerek	ber merek
athena	athena
terhebat	ter hebat
muramku	muram ku
otomatis	otomatis
meresahkan	men resah kan
melintasinya	men lintas i nya
makanannya	makan an nya
dilekatkan	di lekat kan
cerita	cerita
rendahnya	rendah nya
mendoakannya	men doa kan nya
representasi	representasi
dirobek	di robek
menginformasikan	men informasi kan
diseimbangkan	di seimbang kan
hening	hening
tersisa	ter sisa
dicetuskan	di cetus kan
cemar	cemar
menyalin	men salin
lebar	lebar
lingkungan	lingkung an
ditempatkan	di tempat kan
diliputi	di liput i
tercepat	ter cepat
diterjemahkan	di terjemah kan
versi	versi
mempererat	men erat
ditahan	di tahan
memisahkan	men pisah kan
disumbangkan	di sumbang kan
ditunda	di tunda
dibuat	di buat
terpanggil	ter panggil
mengeruk	men keruk
diraih	di raih
komputerisasi	komputerisasi
memuncak	men puncak
dirampungkan	di rampung kan
berargumen	ber argumen
meneladani	men teladan i
merealisasikan	men realisasi kan
titipan	titip an
salib	salib
kentang	kentang
diperkirakan	di per kira kan
terbantahkan	ter bantah kan
wabah	wabah
kotor	kotor
stagnan	stagnan
panenan	panen an
hakim	hakim
teguh	teguh
pendukungnya	pen dukung nya
kedatangan	ke datang an
solusi	solusi
penjamuran	pen jamur an
teriak	teriak
debitur	debitur
berhentinya	ber henti nya
dikukuhkan	di kukuh kan
menyeberangi	men seberang i
tingkat	tingkat
dikunjungi	di kunjung i
enumerasinya	enumerasi nya
riba	riba
terlukiskan	ter lukis kan
terakomodasinya	ter akomodasi nya
merancang	men rancang
kubuang	ku buang
terjaganya	ter jaga nya
tertahan	ter tahan
gran	gr an
distorsi	distorsi
pencanangan	pen canang an
seisi	se isi
mengutus	men utus
uluran	ulur an
ikhlas	ikhlas
tunggakan	tunggak an
terputus	ter putus
muara	muara
bandara	bandara
buruk	buruk
membiayainya	men biaya i nya
ditopang	di topang
liat	liat
menguraikan	men urai kan
kontrak	kontrak
ditempel	di tempel
berfokus	ber fokus
sayangnya	sayang nya
juli	juli
segan	segan
kaosnya	kaos nya
berafiliasi	ber afiliasi
permanen	permanen
beracun	ber racun
gemilang	gemilang
penjahitan	pen jahit an
bapaknya	bapak nya
bercermin	ber cermin
tradisional	tradisional
dipandu	di pandu
diekspor	di ekspor
menjurus	men jurus
antargereja	antar gereja
ekonom	ekonom
efektivitasnya	efektivitas nya
mengharapkan	men harap kan
pendayagunaan	pen dayaguna an
ketidaksabaran	ke tidak sabar an
hangat	hangat
didesain	di desain
ditelan	di telan
menyinergikan	men sinergi kan
mendiami	men diam i
janin	janin
kongres	kongres
sma	sma
adaptasi	adaptasi
bakteri	bakteri
antarteman	antar teman
lenyap	lenyap
basis	basis
lapar	lapar
teliti	teliti
bunga	bunga
mendebarkan	men debar kan
pipa	pipa
perkataan	per kata an
dipersatukan	di per satu kan
cahaya	cahaya
dibahas	di bahas
musiman	musim an
dilenyapkan	di lenyap kan
diobservasi	di observasi
bedah	bedah
alkohol	alkohol
rusaknya	rusak nya
membahasnya	men bahas nya
longgar	longgar
janggal	janggal
pesertanya	peserta nya
pencairannya	pen cair an nya
disembelih	di sembelih
federasi	federasi
berjualan	ber jual an
bangkit	bangkit
bertanding	ber tanding
berlomba	ber lomba
dilanjutkan	di lanjut kan
meletihkan	men letih kan
membutuhkannya	men butuh kan nya
kritikus	kritikus
direvisi	di revisi
menyingkir	men singkir
membajak	men bajak
mendukungnya	men dukung nya
pakaiannya	pakai an nya
mempersiapkan	men siap kan
menganalisis	men analisis
konsolidasi	konsolidasi
wajahnya	wajah nya
sayap	sayap
minimalnya	minimal nya
penerapannya	pen terap an nya
meyakinkan	men yakin kan
pemain	pen main
pikiranmu	pikir an mu
pengabdian	pen abdi an
menyelami	men selam i
terusik	ter usik
meriamnya	meriam nya
bawa	bawa
raih	raih
pejabatnya	pejabat nya
meledakkan	men ledak kan
pembaca	pen baca
didiami	di diam i
radikal	radikal
dialiri	di alir i
formatnya	format nya
pemuka	pen muka
membikin	men bikin
menyibukkan	men sibuk kan
pengganti	pen ganti
peroleh	peroleh
hari	hari
atmosfir	atmosfir
keinginannya	ke ingin an nya
cadang	cadang
dipercayakan	di percaya kan
pembakaran	pen bakar an
perahunya	perahu nya
lambat	lambat
memihak	men pihak
memahaminya	men paham i nya
damaskus	damaskus
berpikir	ber pikir
diperluas	di per luas
disalibkan	di salib kan
terkutuk	ter kutuk
direktorat	direktorat
kategori	kategori
bertekun	ber tekun
menyelaraskan	men selaras kan
nampaknya	nampak nya
pengetatan	pen ketat an
bertetanggaan	ber tetangga an
tuanya	tua nya
khas	khas
menepati	men tepat i
prostat	prostat
keberangkatannya	ke berangkat an nya
pundi	pundi
kembalinya	kembali nya
nafsumu	nafsu mu
kekasihnya	kekasih nya
menangani	men tangan i
balik	balik
pemalsu	pen palsu
gelisah	gelisah
pertunjukan	per tunjuk an
nikah	nikah
tuju	tuju
lulusan	lulus an
ditekan	di tekan
melanda	men landa
gua	gua
pengupahan	pen upah an
diuntungkan	di untung kan
didefinisikan	di definisi kan
membatasinya	men batas i nya
disyukuri	di syukuri
terbawa	ter bawa
berkantor	ber kantor
gagang	gagang
tragis	tragis
mendambakan	men damba kan
menguduskan	men kudus kan
mendalam	men dalam
orientasi	orientasi
membagikan	men bagi kan
indera	indera
pemberian	pen beri an
doaku	doa aku
sesama	se sama
psikologis	psikologis
memukulnya	men pukul nya
menaatinya	men taat i nya
mempengaruhi	men pengaruh i
kelihatan	ke lihat an
persoalan	per soal an
ditularkan	di tular kan
diselidiki	di selidik i
ditiru	di tiru
taurat	taurat
badak	badak
merekomendasikan	men rekomendasi kan
warung	warung
berlangsungnya	ber langsung nya
meletus	men letus
penerbang	pen terbang
teruskan	terus kan
mengunci	men kunci
mempercepat	men cepat
singkatan	singkat an
mengunyah	men kunyah
alih	alih
hawa	hawa
menggapai	men gapai
gugus	gugus
pelintasan	pen lintas an
tutur	tutur
laba	laba
pacarku	pacar ku
nyawaku	nyawa aku
kapnya	kap nya
eksteriornya	eksterior nya
pembantaian	pen bantai an
terjauh	ter jauh
berbasiskan	ber basis kan
menakar	men takar
mengkonsultasikan	men konsultasi kan
penjumlahan	pen jumlah an
motivasinya	motivasi nya
konser	konser
atlet	atlet
berakting	ber akting
kawin	kawin
berusia	ber usia
panglima	panglima
bersandarkan	ber sandar kan
memungkinkannya	memungkinkan nya
cabai	cabai
pesaingnya	pesaing nya
dikelompokkan	di kelompok kan
berpemerintahan	ber pen perintah an
masehi	masehi
jiwamu	jiwa mu
bajaknya	bajak nya
sebanding	se banding
mewajibkan	men wajib kan
antarkeyakinan	antar ke yakin an
analisisnya	analisis nya
antarpeserta	antar peserta
pasta	pasta
ditukar	di tukar
mesin	mesin
ganjaran	ganjar an
kancing	kancing
menggendong	men gendong
ditulis	di tulis
figur	figur
penghujat	pen hujat
memproteksi	men proteksi
langganan	langgan an
kasihnya	kasih nya
rekaman	rekam an
perekat	pen rekat
ekstra	ekstra
memeliharamu	men pelihara mu
melatarbelakanginya	men latarbelakang i nya
sebetulnya	se betul nya
hasilnya	hasil nya
mejanya	meja nya
memangkas	men pangkas
direalisasikan	di realisasi kan
sebotol	se botol
mengoreksi	men koreksi
marah	marah
ratu	ratu
kejadian	ke jadi an
korea	korea
berdialog	ber dialog
dipersembahkan	di per sembah kan
bea	bea
tempuhnya	tempuh nya
antarsektor	antar sektor
tersambar	ter sambar
persekutuan	per sekutu an
informasinya	informasi nya
didasari	di dasar i
bidikannya	bidik an nya
disalin	di salin
perburuan	per buru an
daratannya	darat an nya
dibuang	di buang
tektonik	tektonik
mengajarku	men ajar ku
keriput	keriput
lidahnya	lidah nya
terabaikannya	ter abai kan nya
pribadi	pribadi
menginspirasi	men inspirasi
peka	peka
individu	individu
pengajaran	pen ajar an
bertarung	ber tarung
retribusi	retribusi
daya	daya
berbisnis	ber bisnis
plastiknya	plastik nya
pengeboran	pengeboran
merindukan	men rindu kan
prosedural	prosedural
mendekat	men dekat
menyinergikannya	men sinergi kan nya
seteguh	se teguh
keringnya	kering nya
desember	desember
memeluk	men peluk
desentralisasi	desentralisasi
tolak	tolak
perawatan	pen rawat an
diinterogasi	di interogasi
melangkahi	men langkah i
teratur	ter atur
berseru	ber seru
antartingkatan	antar tingkat an
disaksikan	di saksi kan
penyebab	pen sebab
bagusnya	bagus nya
anehnya	aneh nya
pembatalan	pen batal an
jarangnya	jarang nya
mata	mata
persetujuannya	per setuju an nya
ditolong	di tolong
romantis	romantis
karakteristik	karakteristik
ribut	ribut
tantangan	tantang an
ditampar	di tampar
disejajarkan	di sejajar kan
memandunya	men pandu nya
melegakan	men lega kan
penyesuaian	pen sesuai an
sampelnya	sampel nya
menangnya	menang nya
dikelilingi	di keliling i
dihancurkan	di hancur kan
akte	akte
masalahnya	masalah nya
pengurangan	pen kurang an
menangkis	men tangkis
andalkan	andal kan
berternak	ber ternak
lukanya	luka nya
sangkut	sangkut
ironisnya	ironis nya
diseleksi	di seleksi
kandas	kandas
didampingi	di damping i
reporter	reporter
area	area
bahasanya	bahasa nya
mutakhir	mutakhir
argumentasi	argumentasi
memvonis	men vonis
perorangan	per orang an
memamerkannya	men pamer kan nya
efisien	efisien
keinginanmu	ke ingin an mu
dokumennya	dokumen nya
dicontohkan	di contoh kan
tandai	tanda i
sipil	sipil
penganiayaan	pen aniaya an
bata	bata
nonkayu	non kayu
berwewenang	ber wewenang
minimum	minimum
mengalirnya	men alir nya
perilakunya	perilaku nya
independen	independen
bodohnya	bodoh nya
