mengganggu	men ganggu
sisanya	sisa nya
memperindah	men indah
terakomodasi	ter akomodasi
bagus	bagus
mengamati	men amati
sifat	sifat
gilirannya	gilir an nya
komplikasi	komplikasi
semacamnya	se macam nya
membocorkan	men bocor kan
kencang	kencang
mencalonkan	men calon kan
menjaga	men jaga
prosesi	proses i
pemuridan	pen murid an
bertahap	ber tahap
komoditasnya	komoditas nya
misinya	misi nya
mendominasi	men dominasi
menyelesaikannya	men selesai kan nya
nonperdagangan	non per dagang an
terikat	ter ikat
botol	botol
menahan	men tahan
mengulangi	men ulang i
menempuh	men tempuh
digodok	di godok
ikatan	ikat an
teh	teh
menstimulasi	men stimulasi
siswa	siswa
peneliti	pen teliti
cacing	cacing
menjaminkan	men jamin kan
terhubung	ter hubung
geografi	geografi
sebagian	sebagian
mengencerkan	men encer kan
kejadiannya	ke jadi an nya
pengadministrasian	pen administrasi an
susulan	susul an
mendulang	men dulang
dijamin	di jamin
pembangunan	pen bangun an
disadarkan	di sadar kan
menghafal	men hafal
dikirimkan	di kirim kan
beragi	ber ragi
membodohi	men bodoh i
reaksi	reaksi
pbb	pbb
sel	sel
depanmu	depan mu
dipikat	di pikat
gembiranya	gembira nya
antardusun	antar dusun
korea	korea
sebatas	se batas
dihubungkan	di hubung kan
tafsiran	tafsir an
perumahan	pen rumah an
pertanyaan	per tanya an
ditekuni	di tekun i
terlihat	ter lihat
asam	asam
pembongkaran	pen bongkar an
setingkat	se tingkat
norma	norma
menenangkan	men tenang kan
tercapai	ter capai
diakses	di akses
pengidentifikasian	pen identifikasi an
antariksa	antariksa
robot	robot
manusia	manusia
dikonfirmasi	di konfirmasi
pengobatan	pen obat an
bernaung	ber naung
sukacitamu	sukacita mu
almamaternya	almamater nya
nomor	nomor
perilakunya	perilaku nya
mendesentralisasikannya	men desentralisasi kan nya
gerakan	gerak an
payung	payung
panennya	panen nya
dukunnya	dukun nya
menewaskan	men tewas kan
menyempurnakan	men sempurna kan
berteman	ber teman
mendayagunakan	men dayaguna kan
kamis	kamis
mengelilinginya	men keliling i nya
sepupu	sepupu
menceritakan	men cerita kan
depkes	depkes
derajat	derajat
penghalau	pen halau
menjual	men jual
dililit	di lilit
berdosa	ber dosa
sarananya	sarana nya
miliki	milik i
menggadaikan	men gadai kan
sampel	sampel
mampu	mampu
desa	desa
konsekuensi	konsekuensi
memerbaiki	men perbaiki
mewakilinya	men wakil i nya
beban	beban
diciptakan	di cipta kan
mengorelasikan	men korelasi kan
berorganisasi	ber organisasi
diloloskan	di lolos kan
diinformasikan	di informasi kan
dilaksanakan	di laksana kan
menyalami	men salam i
terberatnya	ter berat nya
poster	poster
pengasuhan	pen asuh an
sebaiknya	se baik nya
mahal	mahal
penegasan	pen tegas an
aturan	atur an
kekalnya	kekal nya
berasal	ber asal
suratnya	surat nya
percekcokan	per cekcok an
klien	klien
kutuk	kutuk
berkat	berkat
pemadam	pen madam
hampa	hampa
kasihnya	kasih nya
terdesentralisasi	ter desentralisasi
menendang	men tendang
menyeimbangkan	men seimbang kan
masanya	masa nya
menambah	men tambah
lalui	lalu i
melatihnya	men latih nya
ragukan	ragu kan
dikhususkan	di khusus kan
tersandung	ter sandung
penghormatan	pen hormat an
seramai	se ramai
efektivitas	efektivitas
direkrutnya	di rekrut nya
ditulisnya	di tulis nya
tangani	tangan i
verifikasinya	verifikasi nya
lahan	lahan
menemaninya	men teman i nya
akurasi	akurasi
bergiat	ber giat
makannya	makan nya
menjamurnya	men jamur nya
mengintai	men intai
ala	ala
pengangkatan	pen angkat an
ditanggulangi	di tanggulang i
pemandangan	pen pandang an
galeri	galeri
subjektivitas	subjektivitas
kitab	kitab
berupa	ber rupa
kutempuh	ku tempuh
keliru	keliru
dibicarakan	di bicara kan
kampus	kampus
borong	borong
dilembagakan	di lembaga kan
antar	antar
ditanamkan	di tanam kan
lestari	lestari
mengimbangi	men imbang i
ditambahkannya	di tambah kan nya
dimungkinkan	dimungkinkan
lucu	lucu
dikenakannya	di kena kan nya
diteruskan	di terus kan
doktor	doktor
ulang	ulang
kasar	kasar
agenda	agenda
kampanyenya	kampanye nya
luang	luang
didambakannya	di damba kan nya
mengasihi	men kasih i
dilatihnya	di latih nya
tugasku	tugas ku
tidurnya	tidur nya
pengangkutan	pen angkut an
cokelat	cokelat
terbayar	ter bayar
tepi	tepi
berbasiskan	ber basis kan
keruh	keruh
terlontar	ter lontar
pelabuhan	pen labuh an
bergerak	ber gerak
terisolasi	ter isolasi
embun	embun
penakut	pen takut
menginduk	men induk
infrastrukturnya	infrastruktur nya
positifnya	positif nya
pewaris	pen waris
terpopuler	ter populer
teknis	teknis
matang	matang
melengkapinya	men lengkap i nya
bermitra	ber mitra
salib	salib
dicairkan	di cair kan
perancang	pen rancang
pengarung	pen karung
area	area
seksi	seks i
penelitiannya	pen teliti an nya
kubur	kubur
antiseparatis	anti separatis
karbon	karbon
pembuangan	pen buang an
islami	islam i
tafsirannya	tafsir an nya
beraksi	ber aksi
ulama	ulama
perumpamaannya	per umpama an nya
dikeringkan	di kering kan
menargetkan	men target kan
pembiusan	pen bius an
salam	salam
berimbang	ber imbang
merepotkan	men repot kan
terbentuk	ter bentuk
petisi	petisi
kompleks	kompleks
medisnya	medis nya
pegang	pegang
singkatan	singkat an
asuransi	asuransi
berbeda	ber beda
kesehariannya	keseharian nya
karpet	karpet
legislatif	legislatif
laju	laju
menghapus	men hapus
membatasi	men batas i
terdata	ter data
antarpengurus	antar pen urus
ketidakseimbangan	ke tidak seimbang an
kerinduannya	ke rindu an nya
terpisahkan	ter pisah kan
dusunnya	dusun nya
allah	allah
disiapkannya	di siap kan nya
antarorangtua	antar orangtua
jelas	jelas
kumiliki	ku milik i
mendeskripsikan	men deskripsi kan
penagihannya	pen tagih an nya
peneguhan	pen teguh an
jepang	jepang
menyusutnya	men susut nya
direkonstruksi	di rekonstruksi
tiang	tiang
berkomunikasi	ber komunikasi
ditaklukkan	di takluk kan
balita	balita
serang	serang
sedia	sedia
gitarnya	gitar nya
umumnya	umum nya
menerangkan	men terang kan
berpawai	ber pawai
penggratisan	pen gratis an
permulaannya	per mula an nya
asli	asli
khazanah	khazanah
dikonsumsi	di konsumsi
memanah	men panah
meluncurkan	men luncur kan
jualbeli	jualbeli
menggunakannya	men guna kan nya
keras	keras
tewas	tewas
gurun	gurun
terhalangi	ter halang i
membendung	men bendung
melalaikan	men lalai kan
klinik	klinik
menghadap	men hadap
penyuapan	pen suap an
pencipta	pen cipta
terakumulasi	ter akumulasi
kutanggung	ku tanggung
ketidaksetiaan	ke tidak setia an
perumusan	pen rumus an
menggosokkan	men gosok kan
ginjal	ginjal
berkesudahan	ber ke sudah an
berperkara	ber perkara
kendala	kendala
dikompensasikan	di kompensasi kan
united	united
mendelegasikan	men delegasi kan
pidato	pidato
penjabaran	pen jabar an
diperingkat	di peringkat
musik	musik
lengkap	lengkap
diarahkan	di arah kan
takjub	takjub
organ	organ
dibentuk	di bentuk
memasukan	men pasukan
pemboman	pen bom an
mencarinya	men cari nya
alkitab	alkitab
patriotik	patriotik
intensitas	intensitas
pempublikasian	pen publikasi an
perempuan	perempuan
sidik	sidik
mempermasalahkannya	men masalah kan nya
mulus	mulus
eksekusinya	eksekusi nya
menggenapi	men genap i
terdaftar	ter daftar
diolesi	di oles i
usianya	usia nya
aset	aset
penghentian	pen henti an
khas	khas
bertepuk	ber tepuk
didiskualifikasi	di diskualifikasi
sempit	sempit
bergegas	ber gegas
adakan	ada kan
lidah	lidah
membentuk	men bentuk
mengintimidasi	men intimidasi
diseimbangkan	di seimbang kan
diseret	di seret
penjamuran	pen jamur an
mawarnya	mawar nya
berjabat	ber jabat
kenakan	kena kan
lurus	lurus
merintangi	men rintang i
menipis	men tipis
interiornya	interior nya
biayanya	biaya nya
pindahan	pindah an
fakultas	fakultas
mempersiapkannya	men siap kan nya
dirobohkan	di roboh kan
peristiwa	peristiwa
pergolakan	per golak an
wisata	wisata
penyalur	pen salur
kabut	kabut
kelanjutan	ke lanjut an
setia	setia
merekrut	men rekrut
antarrumah	antar rumah
ketahui	ketahui
besi	besi
damai	damai
memanggang	men panggang
goncangkan	goncang kan
investigasi	investigasi
sesuatunya	sesuatu nya
rekonsiliasi	rekonsiliasi
remaja	remaja
ketidakpekaan	ke tidak peka an
dicurigai	di curiga i
pengungsi	pen ungsi
risikonya	risiko nya
populasinya	populasi nya
berdomisili	ber domisili
dihitung	di hitung
dimasukkannya	di masuk kan nya
terkelola	ter kelola
terurai	ter urai
pemasangan	pen pasang an
kedudukannya	ke duduk an nya
kupon	kupon
terhalang	ter halang
memperebutkan	men rebut kan
bertanda	ber tanda
profesionalisme	profesionalisme
menumpang	men tumpang
segel	segel
agung	agung
terintimidasi	ter intimidasi
tulis	tulis
sahabat	sahabat
pembangkit	pen bangkit
berkesempatan	ber kesempatan
pulau	pulau
cocok	cocok
perjumpaan	per jumpa an
bungkusan	bungkus an
menetapkan	men tetap kan
diperankan	di peran kan
kuingat	ku ingat
mapannya	mapan nya
nafsu	nafsu
diperlukan	di perlu kan
dititipi	di titip i
menjelajahi	men jelajah i
menirukan	men tiru kan
giat	giat
langgengnya	langgeng nya
rajaku	raja aku
kasi	kas i
menapaki	men tapak i
diabaikannya	di abai kan nya
terpola	ter pola
diikutkan	di ikut kan
mertuanya	mertua nya
fitnah	fitnah
nopember	nopember
disegarkan	di segar kan
prajurit	prajurit
tambahkan	tambah kan
menyingkap	men singkap
dahsyat	dahsyat
olahannya	olah an nya
jebakan	jebak an
berlangsungnya	ber langsung nya
diperiksa	di periksa
ekonomis	ekonomis
enumerasinya	enumerasi nya
pelatihan	pen latih an
komputerisasi	komputerisasi
pemberian	pen beri an
berkorban	ber korban
penyebarannya	pen sebar an nya
bohong	bohong
relevan	relevan
aroma	aroma
rohnya	roh nya
minoritas	minoritas
esa	esa
penggandaan	pen ganda an
jarimu	jari mu
didirikannya	di diri kan nya
pelayanan	pen layan an
penanya	pen tanya
didengarnya	di dengar nya
pangkat	pangkat
matanya	mata nya
sabun	sabun
mengira	men kira
kanannya	kanan nya
skeptis	skeptis
impian	impian
didesentralisasikan	di desentralisasi kan
akomodasi	akomodasi
dikonversi	di konversi
kau	kau
kuno	kuno
menyisihkan	men sisih kan
membetulkan	men betul kan
menyengsarakan	men sengsara kan
antarwaktu	antar waktu
lokasinya	lokasi nya
responden	responden
tanamkan	tanam kan
diinginkan	di ingin kan
benua	benua
ditimpa	di timpa
pemetaan	pen peta an
mendadak	mendadak
diakui	di aku i
kolom	kolom
tampung	tampung
menghadapinya	men hadap i nya
lingkar	lingkar
persepsinya	persepsi nya
mengurut	men urut
dimerdekakan	di merdeka kan
antarlembaga	antar lembaga
yakin	yakin
ayu	ayu
mencairkan	men cair kan
menyenangkan	men senang kan
pangkalan	pangkal an
tingkatnya	tingkat nya
adiknya	adik nya
cuaca	cuaca
berkualitas	ber kualitas
kisah	kisah
cita	cita
pemaparan	pen papar an
menangkap	men tangkap
didesain	di desain
saringan	saring an
tuntunan	tuntun an
dinyatakannya	di nyata kan nya
dominannya	dominan nya
menerbangkan	men terbang kan
rekening	rekening
temannya	teman nya
huruf	huruf
perbelanjaan	per belanja an
pita	pita
noninfrastruktur	non infrastruktur
dikategori	di kategori
pencegah	pen cegah
keperluan	ke perlu an
pemasaran	pen pasar an
mengendarai	men kendara i
mentimun	mentimun
mainan	main an
secangkir	se cangkir
mendaratkannya	men darat kan nya
pembuatannya	pen buat an nya
rapuh	rapuh
menekankan	men tekan kan
berekspresi	ber ekspresi
dicerai	di cerai
menggerutu	men gerutu
konstruksi	konstruksi
ismail	ismail
nonmakanan	non makan an
bukti	bukti
penggantinya	pen ganti nya
pasir	pasir
tercabut	ter cabut
buaian	buai an
ketidakpercayaan	ke tidak percaya an
april	april
timbangannya	timbang an nya
baiknya	baik nya
berorang	ber orang
berusia	ber usia
diidentifikasikan	di identifikasi kan
mesir	mesir
uangnya	uang nya
selektifnya	selektif nya
diluncurkan	di luncur kan
etis	etis
akuisisi	akuisisi
nyata	nyata
terpakai	ter pakai
jurnalisme	jurnalisme
bulannya	bulan nya
pelunasan	pen lunas an
dikaburkan	di kabur kan
sehat	sehat
iri	iri
berinovasi	ber inovasi
dikumandangkan	di kumandang kan
serunya	seru nya
pendata	pen data
meratapi	men ratap i
asuhan	asuh an
pemungutan	pen pungut an
tertuju	ter tuju
pengertian	pengertian
pemilahan	pen pilah an
uu	uu
menyusul	men susul
mengefektifkan	men efektif kan
olokan	olok an
memilikinya	men milik i nya
bagusnya	bagus nya
meminjam	men pinjam
mengajari	men ajar i
perolehannya	peroleh an nya
trend	trend
melangsungkan	men langsung kan
punyai	punya i
kompilasi	kompilasi
juru	juru
kejadian	ke jadi an
penyuling	pen suling
menerpanya	men terpa nya
bermilik	ber milik
mengkonsolidasikan	men konsolidasi kan
terkalahkan	terkalahkan
tujuan	tuju an
jurnal	jurnal
perahu	perahu
mengisyaratkan	men isyarat kan
paksaan	paksa an
senada	se nada
persekutuannya	per sekutu an nya
penerbangannya	pen terbang an nya
antardesanya	antar desa nya
dirusak	di rusak
memerintahkannya	men perintah kan nya
pikirannya	pikir an nya
berduri	ber duri
mengoyakkan	men koyak kan
kagumi	kagum i
sampingan	samping an
memvonis	men vonis
keguguran	ke gugur an
pemakai	pen pakai
kritik	kritik
didalam	di dalam
ditjen	ditjen
tahunnya	tahun nya
latarbelakang	latarbelakang
direvisi	di revisi
mencerminkan	men cermin kan
dipelihara	di pelihara
sejam	se jam
pengurus	pen urus
didata	di data
rekaan	reka an
masa	masa
dimaknai	di makna i
menjajaki	men jajak i
memetik	men petik
tolong	tolong
penghalang	pen halang
pengurusnya	pen urus nya
pertobatan	per tobat an
simbolis	simbolis
panggung	panggung
sinar	sinar
diredam	di redam
kreatif	kreatif
konsolidasi	konsolidasi
melewati	men lewat i
kontraktornya	kontraktor nya
keringnya	kering nya
dahaga	dahaga
biarkan	biar kan
medali	medali
timbunan	timbun an
merubah	men rubah
melintasinya	men lintas i nya
beracun	ber racun
mengakses	men akses
berlimpah	ber limpah
beririgasi	ber irigasi
pengejaran	pen kejar an
menggoyahkan	men goyah kan
gratis	gratis
penghuni	pen huni
persoalannya	per soal an nya
melekatnya	men lekat nya
acara	acara
berjenjang	ber jenjang
menyaring	men saring
anunya	anu nya
nafsunya	nafsu nya
dibatalkannya	di batal kan nya
hemat	hemat
interaksi	interaksi
dideskripsikan	di deskripsi kan
memamerkan	men pamer kan
bakar	bakar
bergelut	ber gelut
saran	saran
berlebih	ber lebih
diambil	di ambil
harun	harun
serinci	se rinci
menggelisahkan	men gelisah kan
setapak	se tapak
perusakan	pen rusak an
belahan	belah an
informan	informan
tertahankan	ter tahan kan
dipertahankan	di per tahan kan
ucapan	ucap an
jangkauan	jangkau an
indikator	indikator
pemukiman	pen mukim an
melamar	men lamar
menabrakkannya	men tabrak kan nya
layanan	layan an
reproduksi	reproduksi
pinjaman	pinjam an
dijerumuskan	di jerumus kan
antarpengukuran	antar pen ukur an
menetes	men tetes
terancam	ter ancam
diberikannya	di beri kan nya
penumpangan	pen tumpang an
institusinya	institusi nya
menyuapkannya	men suap kan nya
ajak	ajak
nonfisik	non fisik
interupsi	interupsi
pandangan	pandang an
ia	ia
mimpi	mimpi
terpesona	ter pesona
jutaan	juta an
guru	guru
mengirimkannya	men kirim kan nya
cerai	cerai
kecewa	kecewa
terbalik	ter balik
busuknya	busuk nya
nonusaha	non usaha
potensialnya	potensial nya
pasar	pasar
diserap	di serap
penajaman	pen tajam an
naiknya	naik nya
penebusan	pen tebus an
insiden	insiden
enggan	enggan
dibuatkannya	di buat kan nya
tebangan	tebang an
kristen	kristen
dukung	dukung
aceh	aceh
membikin	men bikin
fajar	fajar
silakan	silakan
mengantarnya	men antar nya
pemungutannya	pen pungut an nya
berlainan	ber lain an
guncangan	guncang an
berunjuk	ber unjuk
ilustrasi	ilustrasi
memprediksikan	men prediksi kan
berserakan	ber serak an
kandas	kandas
dimasukkan	di masuk kan
menyeberanginya	men seberang i nya
terluka	ter luka
komisi	komisi
mengalirkan	men alir kan
tertanam	ter tanam
pelat	pelat
mengidap	men idap
dikembalikannya	di kembali kan nya
diperluas	di per luas
babak	babak
rendahnya	rendah nya
terungkap	ter ungkap
mendaftarkan	men daftar kan
memberitahuku	men beritahu ku
carinya	cari nya
mikroskop	mikroskop
batuan	batu an
terpanjang	ter panjang
relevansi	relevansi
penerbang	pen terbang
menggairahkan	men gairah kan
diam	diam
mendaftarkannya	men daftar kan nya
kepimpinan	ke pimpin an
dibahas	di bahas
klasifikasi	klasifikasi
menyuruhnya	men suruh nya
berdinding	ber dinding
ditempelkan	di tempel kan
pengukur	pen ukur
meloloskan	men lolos kan
merancangkan	men rancang kan
penyeludup	pen seludup
mencocokkannya	men cocok kan nya
haknya	hak nya
dididik	di didik
duga	duga
sepele	sepele
mencercanya	men cerca nya
terurus	ter urus
kesalnya	kesal nya
disodorkan	di sodor kan
dikorbankan	di korban kan
tempat	tempat
sains	sains
akad	akad
rutinnya	rutin nya
pendistribusi	pen distribusi
ditembak	di tembak
menderita	men derita
pencocokan	pen cocok an
ganda	ganda
sepoi	sepoi
pertanggungjawabannya	per tanggungjawab an nya
amati	amati
majikannya	majikan nya
pendanaan	pen dana an
antarprogram	antar program
penayangan	pen tayang an
konstitusional	konstitusional
duri	duri
dijelajahi	di jelajah i
pengadilan	pen adil an
palsu	palsu
nasib	nasib
sekawasan	se kawasan
lerengan	lereng an
muslim	muslim
pengajuan	pen aju an
merapi	men rapi
menjelaskan	men jelas kan
besok	besok
pembuatnya	pen buat nya
mengasihiku	men kasih i ku
khusus	khusus
landai	landa i
menerpa	men terpa
insentif	insentif
membiarnya	men biar nya
buruan	buru an
melayaninya	men layan i nya
persetujuannya	per setuju an nya
tembaga	tembaga
persamaan	per sama an
disebar	di sebar
perumpamaan	per umpama an
terbenam	ter benam
merekatkan	men rekat kan
maksimalnya	maksimal nya
mencatatkan	men catat kan
detik	detik
tunjangannya	tunjang an nya
beregenerasi	ber regenerasi
terdampak	ter dampak
arif	arif
dilahirkan	di lahir kan
mengelompok	men kelompok
genangan	genang an
bertanah	ber tanah
suku	suku
cicilan	cicil an
beruntun	beruntun
macam	macam
penyemprot	pen semprot
menyalahi	men salah i
bunganya	bunga nya
pembawa	pen bawa
jajarannya	jajar an nya
luput	luput
mengakomodasikan	men akomodasi kan
firdaus	firdaus
dianugerahi	di anugerah i
pemberontakan	pen berontak an
seriusnya	serius nya
buruk	buruk
nikah	nikah
lini	lini
mencintai	men cinta i
rekonstruksinya	rekonstruksi nya
persiapan	per siap an
mendekat	men dekat
penggalian	pen gali an
perkuliahan	per kuliah an
berkabut	ber kabut
matinya	mati nya
penyelang	pen selang
hadapannya	hadap an nya
terbentuknya	ter bentuk nya
dibebankan	di beban kan
rasi	ras i
berpulangnya	ber pulang nya
korupsinya	korupsi nya
menumpas	men tumpas
pengkhianatan	pen khianat an
menaiki	men naik i
menamai	men nama i
mengecewakan	men kecewa kan
dinikahkan	di nikah kan
perintis	pen rintis
abad	abad
putri	putri
kembalikan	kembali kan
komunikasi	komunikasi
kameranya	kamera nya
dilangsungkan	di langsung kan
pengamat	pengamat
penyelenggara	pen selenggara
gundul	gundul
jualan	jual an
ditumpuk	di tumpuk
periode	periode
katanya	kata nya
dikhianati	di khianat i
sampah	sampah
badannya	badan nya
balik	balik
mengedit	men edit
integritasnya	integritas nya
implikasi	implikasi
artikel	artikel
ketidaknyamanan	ke tidak nyaman an
pucuk	pucuk
semenarik	se menarik
menyalahgunakan	men salahguna kan
dituturkan	di tutur kan
mengantar	men antar
pemimpin	pen pimpin
pembantu	pen bantu
tambak	tambak
optimal	optimal
keluar	keluar
entri	entri
aktifitasnya	aktifitas nya
menempel	men tempel
bertenaga	ber tenaga
membicarakan	men bicara kan
memanfaatkan	men manfaat kan
dikelompokkan	di kelompok kan
kagum	kagum
batas	batas
mendiskusikannya	men diskusi kan nya
yunus	yunus
santrinya	santri nya
terkenal	ter kenal
almamater	almamater
hikmat	hikmat
seperangkat	se perangkat
ramainya	ramai nya
diikat	di ikat
gugat	gugat
maaf	maaf
berakting	ber akting
nonteknis	nonteknis
dipetakan	di peta kan
pengolahannya	pen olah an nya
kulalui	ku lalu i
kecap	kecap
pisang	pisang
berlatar	ber latar
tingkah	tingkah
perangkap	pen rangkap
memperbarui	men baru i
terfokus	ter fokus
ayahku	ayah ku
bertubuh	ber tubuh
statis	statis
tradisionalnya	tradisional nya
kapal	kapal
anggukan	angguk an
menjawab	men jawab
sejumput	se jumput
muara	muara
pribadinya	pribadi nya
jabar	jabar
pagar	pagar
penataan	pen tata an
tambahannya	tambah an nya
percakapan	per cakap an
mengosongkannya	men kosong kan nya
kapasitas	kapasitas
biola	biola
sanksinya	sanksi nya
bangsa	bangsa
