sepedanya	sepeda nya
diremehkan	di remeh kan
pasien	pasien
bersesuaian	ber sesuai an
dibelanjakan	di belanja kan
semang	semang
terutama	ter utama
penuntun	pen tuntun
pengabdiannya	pen abdi an nya
tingginya	tinggi nya
berkeliaran	ber ke liar an
berkorelasi	ber korelasi
usul	usul
laut	laut
bayaran	bayar an
pelikan	pelik an
disembuhkan	di sembuh kan
mengiklankan	men iklan kan
diakomodasi	di akomodasi
busuk	busuk
bunganya	bunga nya
pengenaan	pen kena an
disamping	di samping
menyuarakan	men suara kan
parkir	parkir
pegang	pegang
berhitung	ber hitung
diasah	di asah
warung	warung
diairi	di air i
merepresentasikan	men representasi kan
penafsiran	pen tafsir an
memprediksi	men prediksi
penetapannya	pen tetap an nya
dilemahkan	di lemah kan
akbar	akbar
pinggang	pinggang
diadopsi	di adopsi
dikirim	di kirim
otoritasnya	otoritas nya
melapor	men lapor
dosennya	dosen nya
mengunci	men kunci
tersaji	ter saji
ketidakselarasan	ke tidak selaras an
lkm	lkm
barangnya	barang nya
ucapkan	ucap kan
efektifitas	efektifitas
penyebutan	pen sebut an
putranya	putra nya
penyanyi	pen nyanyi
menggoda	men goda
bidannya	bidan nya
cobaan	coba an
ditepati	di tepat i
mempersiapkannya	men siap kan nya
januari	januari
pertahanan	per tahan an
dikoordinir	di koordinir
digantikan	di ganti kan
narkotika	narkotika
budayanya	budaya nya
memanjang	men panjang
pemenang	pen menang
muslim	muslim
turun	turun
mengalirnya	men alir nya
penghargaan	pen harga an
kenalan	kenal an
mengenang	men kenang
akademis	akademis
pala	pala
kartunya	kartu nya
dahsyat	dahsyat
terserah	ter serah
perajin	pen rajin
mobilisasi	mobilisasi
berhubung	ber hubung
waduk	waduk
pasaran	pasar an
semangatnya	semangat nya
pegangannya	pegang an nya
limpahan	limpah an
toleransi	toleransi
jeruk	jeruk
melimpahkan	men limpah kan
bernoda	ber noda
tulis	tulis
kantong	kantong
pembiayaan	pen biaya an
menaati	men taat i
reksa	reksa
kalangan	kalangan
membalikkannya	men balik kan nya
terkoyak	ter koyak
perdarahan	per darah an
korupsinya	korupsi nya
ciuman	cium an
maksimal	maksimal
gilirannya	gilir an nya
bagusnya	bagus nya
berita	berita
penggugat	pen gugat
komunikasi	komunikasi
diminatinya	di minat i nya
elit	elit
disuruh	di suruh
mempergunakan	men guna kan
ngeri	ngeri
bergelar	ber gelar
selang	selang
politikus	politikus
1990an	1990 an
mengkoordinir	men koordinir
mengudara	men udara
terumbu	terumbu
berserikat	ber serikat
fisika	fisika
ditampar	di tampar
dikabulkan	di kabul kan
nonanggota	non anggota
menggosipkan	men gosip kan
mengguncang	men guncang
goncangkan	goncang kan
menyambung	men sambung
lembu	lembu
golongan	golong an
terjebak	ter jebak
mengeluarkannya	men keluar kan nya
titipan	titip an
seefisien	se efisien
dipotong	di potong
daratan	darat an
harum	harum
forensik	forensik
berkesempatan	ber kesempatan
pertanggungan	per tanggung an
ginjal	ginjal
secangkir	se cangkir
asean	asean
agresif	agresif
penelaahan	pen telaah an
istri	istri
audit	audit
oposisi	oposisi
pemetaan	pen peta an
mungil	mungil
mutu	mutu
imajinasi	imajinasi
terkutuk	ter kutuk
ditimbang	di timbang
terpinggirkan	ter pinggir kan
direhabilitasi	di rehabilitasi
pabrik	pabrik
profil	profil
menjauhi	men jauh i
melaporkannya	men lapor kan nya
dipajaki	di pajak i
mahabintang	mahabintang
bergejolak	ber gejolak
teriakku	teriak ku
tolongku	tolong ku
dosen	dosen
efisiennya	efisien nya
profesor	profesor
diyakinkan	di yakin kan
akibatnya	akibat nya
menggabungkan	men gabung kan
santrinya	santri nya
cerdik	cerdik
pendengarnya	pen dengar nya
dibacanya	di baca nya
rangka	rangka
benturan	bentur an
tongkatnya	tongkat nya
integrasi	integrasi
bagus	bagus
pekerjaanmu	pekerja an mu
kisah	kisah
angsuran	angsur an
infrastrukturnya	infrastruktur nya
alas	alas
lokasi	lokasi
pelihara	pelihara
penjajahan	pen jajah an
bahasan	bahas an
dirampungkan	di rampung kan
syaraf	syaraf
terhubung	ter hubung
bermerk	ber merk
penayangan	pen tayang an
perpindahan	per pindah an
kacau	kacau
berdalih	ber dalih
perbudakan	per budak an
nya	nya
mentari	mentari
legitimasi	legitimasi
rentan	rentan
menanyakannya	men tanya kan nya
dicurigai	di curiga i
ratusan	ratus an
keberadaannya	keberadaan nya
mengklasifikasi	men klasifikasi
ramping	ramping
hutan	hutan
penyiarnya	pen siar nya
gembiranya	gembira nya
ditunjuk	di tunjuk
penyataan	pen nyata an
mendarat	men darat
intens	intens
april	april
membahasnya	men bahas nya
dahaga	dahaga
digilir	di gilir
berargumen	ber argumen
paus	paus
inflasi	inflasi
antarmasyarakat	antar masyarakat
penetrasi	penetrasi
tekankan	tekan kan
kulkas	kulkas
dipersempit	di per sempit
debutnya	debut nya
arkeologi	arkeologi
mengenyahkan	men enyah kan
dijunjung	di junjung
liga	liga
sampingnya	samping nya
memfotonya	men foto nya
menyarankan	men saran kan
pembidiknya	pen bidik nya
skotlandia	skotlandia
angkatan	angkat an
pengalengan	pen kaleng an
kukasihi	ku kasih i
terdalamnya	ter dalam nya
senior	senior
hamparan	hampar an
supervisi	supervisi
pengangkutan	pen angkut an
penyalur	pen salur
memperbesar	men besar
dilucuti	di lucut i
dihadapinya	di hadap i nya
menggigitku	men gigit ku
kategorisasi	kategorisasi
setir	setir
mengantar	men antar
perenungan	pen renung an
perdamaian	per damai an
tubuhku	tubuh ku
menafsirkan	men tafsir kan
pengangkatan	pen angkat an
bapa	bapa
terikatnya	ter ikat nya
anakku	anak ku
penyelaras	pen selaras
memandu	men pandu
langsing	langsing
tertempel	ter tempel
mengoleksi	men koleksi
cadangannya	cadang an nya
terduga	ter duga
pengabdian	pen abdi an
penganiaya	pen aniaya
transplantasi	transplantasi
pengadministrasian	pen administrasi an
partai	partai
pembatas	pen batas
subjektivitas	subjektivitas
dilatarbelakangi	di latarbelakang i
biar	biar
ulah	ulah
menentangnya	men tentang nya
pembahasannya	pen bahas an nya
dibesarkan	di besar kan
sadari	sadar i
penempatan	pen tempat an
kesannya	kesan nya
sekrup	sekrup
pengucuran	pen kucur an
kenalannya	kenal an nya
membelakangi	men belakang i
dikontrakkan	di kontrak kan
lewat	lewat
berkonotasi	ber konotasi
kelopak	kelopak
menyetorkannya	men setor kan nya
kotor	kotor
puluhan	puluh an
pembangunan	pen bangun an
meluap	men luap
memberontak	men berontak
menyelami	men selam i
diajukan	di aju kan
gunung	gunung
kendalinya	kendali nya
perancang	pen rancang
hilang	hilang
alamat	alamat
ditembus	di tembus
didiskualifikasi	di diskualifikasi
mendelegasikan	men delegasi kan
altar	altar
berduri	ber duri
diadaptasi	di adaptasi
berbaring	ber baring
berserakan	ber serak an
bersepakat	ber sepakat
mengkomunikasikannya	men komunikasi kan nya
pemberitahuan	pen beritahu an
ditabung	di tabung
tradisionalnya	tradisional nya
prihatin	prihatin
gubernur	gubernur
dikasihi	di kasih i
bahagia	bahagia
semprot	semprot
perekonomiannya	per ekonomi an nya
tampung	tampung
antikomunis	anti komunis
dihakimi	di hakim i
terintimidasi	ter intimidasi
mendiskusikan	men diskusi kan
sopan	sopan
menceburkan	men cebur kan
profesional	profesional
macam	macam
ringkas	ringkas
mengemukakan	men kemuka kan
kuman	kuman
bertanah	ber tanah
melanggengkannya	men langgeng kan nya
berpulangnya	ber pulang nya
rajanya	raja nya
memasukkan	men masuk kan
membujuk	men bujuk
penggantian	pen ganti an
subur	subur
pengamatannya	pengamat an nya
binaan	bina an
moneter	moneter
gilir	gilir
penggaduhan	pen gaduh an
diturunkan	di turun kan
akal	akal
mencukupkan	men cukup kan
implementasinya	implementasi nya
adu	adu
top	top
telinga	telinga
berhenti	ber henti
absolut	absolut
komersial	komersial
menyetor	men setor
pertaniannya	per tani an nya
berpawai	ber pawai
mengabari	men kabar i
perdananya	perdana nya
kitab	kitab
piala	piala
berharga	ber harga
permanennya	permanen nya
bebanmu	beban mu
bergurau	ber gurau
bahas	bahas
meluluskan	men lulus kan
penasihat	penasihat
radikal	radikal
remajanya	remaja nya
diterbangkan	di terbang kan
cadang	cadang
pulsa	pulsa
gelora	gelora
pembedahan	pen bedah an
dimutakhirkan	di mutakhir kan
balas	balas
memilihkan	men pilih kan
menegakkan	men tegak kan
berangsur	ber angsur
memperkosa	men perkosa
ditandai	di tanda i
termutakhir	ter mutakhir
keledai	keledai
calon	calon
nontarif	non tarif
dibohongi	di bohong i
belikan	beli kan
ajalnya	ajal nya
pemerasan	pen peras an
digulirkan	di gulir kan
penerjemah	pen terjemah
rekomendasi	rekomendasi
diasosiasikan	di asosiasi kan
membanjiri	men banjir i
produknya	produk nya
mempertegas	men tegas
digerakkan	di gerak kan
bank	bank
penjembatanan	pen jembatan an
mengesampingkan	men kesamping kan
berdasar	ber dasar
tempat	tempat
menyiasati	men siasat i
menangkap	men tangkap
diadili	di adil i
dihanguskan	di hangus kan
warisannya	waris an nya
pertandingan	per tanding an
bergoncang	ber goncang
pizza	pizza
menahan	men tahan
mendistorsi	men distorsi
berkepentingan	ber ke penting an
bertingkat	ber tingkat
diplomatik	diplomatik
perkasa	perkasa
berkunjung	ber kunjung
bersepeda	ber sepeda
biola	biola
tragedi	tragedi
kesan	kesan
ditambah	di tambah
mengencerkan	men encer kan
pegolf	pen golf
berjuang	ber juang
longsor	longsor
dijanjikan	di janji kan
penyerahannya	pen serah an nya
perhotelan	per hotel an
rencananya	rencana nya
ditunjang	di tunjang
perbaikan	per baik an
jaminannya	jamin an nya
indikatornya	indikator nya
informasinya	informasi nya
gerilyawan	gerilya wan
pengaruhi	pengaruh i
logonya	logo nya
jiwanya	jiwa nya
cair	cair
penundaan	pen tunda an
kurs	kurs
pengadaan	pen ada an
kelahiran	ke lahir an
nonperdagangan	non per dagang an
antarprovinsi	antar provinsi
tingkatnya	tingkat nya
ditebus	di tebus
suaminya	suami nya
menyadari	men sadar i
asuransi	asuransi
berkisar	ber kisar
lembut	lembut
proposal	proposal
terjerat	ter jerat
penagih	pen tagih
perujukan	pen rujuk an
mengingatkannya	men ingat kan nya
evakuasi	evakuasi
motif	motif
tutup	tutup
menggeser	men geser
terjangkit	ter jangkit
lidahnya	lidah nya
sosial	sosial
mengkonsultasikan	men konsultasi kan
botol	botol
meminum	men minum
sederhana	sederhana
upahnya	upah nya
keluh	keluh
pengerukan	pen keruk an
nontunai	nontunai
diekspor	di ekspor
evolusi	evolusi
pengikatan	pen ikat an
serendah	se rendah
kreativitas	kreativitas
diremajakan	di remaja kan
dituturkan	di tutur kan
renggang	renggang
memeriksakan	men periksa kan
memprihatinkan	men prihatin kan
teratur	ter atur
kepingan	keping an
ditunda	di tunda
dimediasi	di mediasi
disangka	di sangka
berhala	berhala
perbendaharaannya	per bendahara an nya
asal	asal
menggunakannya	men guna kan nya
menyalahkan	men salah kan
terjal	terjal
kaki	kaki
memanggilnya	men panggil nya
diserahi	di serah i
mengkonfirmasikan	men konfirmasi kan
sertifikatnya	sertifikat nya
bulanan	bulan an
perhatikan	perhatikan
warganya	warga nya
menegangkan	men tegang kan
bertalian	ber tali an
melewatinya	men lewat i nya
penyayang	pen sayang
terpinggir	ter pinggir
budi	budi
nama	nama
tersendat	tersendat
kesempatannya	kesempatan nya
sulitnya	sulit nya
bersekolah	ber sekolah
strategis	strategis
situs	situs
mapan	mapan
terluka	ter luka
terbantahkan	ter bantah kan
pemaparan	pen papar an
bicaranya	bicara nya
panenan	panen an
mengembalikannya	men kembali kan nya
tempatmu	tempat mu
kampanye	kampanye
mendominasinya	men dominasi nya
bi	bi
tindihnya	tindih nya
kedudukan	ke duduk an
hormat	hormat
konseptual	konseptual
penurunannya	pen turun an nya
mendapatkan	men dapat kan
mukjizat	mukjizat
memanggang	men panggang
unik	unik
ternaknya	ternak nya
isapan	isap an
tekad	tekad
majelis	majelis
stoknya	stok nya
mesjid	mesjid
mangsanya	mangsa nya
menata	men tata
membuang	men buang
puncak	puncak
mengharmoniskan	men harmonis kan
pendorong	pen dorong
nonpersonel	non personel
perbedaan	per beda an
pengampun	pen ampun
diverifikasi	di verifikasi
khazanah	khazanah
ketidakseriusan	ke tidak serius an
gemuk	gemuk
pencoretan	pen coret an
dikeluhkan	di keluh kan
bajakannya	bajak an nya
mengestimasi	men estimasi
mencerna	men cerna
perekam	pen rekam
menyalahi	men salah i
menjaga	men jaga
mengitariku	men kitar i ku
doktrin	doktrin
suci	suci
mendoakannya	men doa kan nya
konvensional	konvensional
pendistribusian	pen distribusi an
persiapannya	per siap an nya
sarangnya	sarang nya
ragam	ragam
sabda	sabda
gerak	gerak
tumpuan	tumpu an
cetak	cetak
direka	di reka
irlandia	irlandia
bloknya	blok nya
kolom	kolom
dibengkokkan	di bengkok kan
mengevakuasi	men evakuasi
bebuyutan	bebuyutan
ajaib	ajaib
wasitnya	wasit nya
vertikal	vertikal
wol	wol
penulis	pen tulis
duniawi	duniawi
pimpinan	pimpin an
pembahas	pen bahas
terperinci	ter pen rinci
menyempurnakan	men sempurna kan
diselamatkan	di selamat kan
dilantik	di lantik
dilihat	di lihat
derajat	derajat
terkendali	ter kendali
strata	strata
rudal	rudal
kuliah	kuliah
induk	induk
putra	putra
dilembagakan	di lembaga kan
bercermin	ber cermin
perkampungan	per kampung an
permennya	permen nya
berhikmat	ber hikmat
aturan	atur an
tersingkat	ter singkat
usus	usus
perahu	perahu
taurat	taurat
pelabuh	pen labuh
kasihmu	kasih mu
dibangku	di bangku
syairnya	syair nya
ejekan	ejek an
pembiayaannya	pen biaya an nya
keberadaan	keberadaan
pelacakan	pen lacak an
terobsesi	ter obsesi
konversi	konversi
menekuni	men tekun i
dipermuliakan	di per mulia kan
menjaganya	men jaga nya
menyaksikan	men saksi kan
bertanam	ber tanam
didengungkan	di dengung kan
orangtuanya	orangtua nya
baitul	baitul
mula	mula
kelapa	kelapa
luasnya	luas nya
pengasih	pen kasih
mencuat	men cuat
jualbeli	jualbeli
penyajian	pen saji an
personil	personil
mendadak	mendadak
menangkis	men tangkis
berulang	ber ulang
liberalisasi	liberalisasi
bergosip	ber gosip
kotak	kotak
temannya	teman nya
bendahara	bendahara
stempel	stempel
selera	selera
persampahan	per sampah an
disalahkan	di salah kan
penyaliban	pen salib an
massal	massal
kerasnya	keras nya
ahli	ahli
menyeringai	men seringai
tatapan	tatap an
detik	detik
peningkatan	pen tingkat an
menuturkan	men tutur kan
penyempurnaan	pen sempurna an
diperbarui	di per baru i
tersebarnya	ter sebar nya
pengelolanya	pen kelola nya
terbalik	ter balik
terbebas	ter bebas
elemen	elemen
wajar	wajar
tersentuh	ter sentuh
mengumpulkannya	men kumpul kan nya
laporannya	lapor an nya
sentral	sentral
ampas	ampas
persawahan	per sawah an
partisipasinya	partisipasi nya
antarresponden	antar responden
diwarisi	di waris i
mengucapkan	men ucap kan
menggerakkan	men gerak kan
bobrok	bobrok
terpukau	ter pukau
berpengetahuan	ber pengetahuan
dikuduskan	di kudus kan
dimintai	di minta i
repot	repot
menebusnya	men tebus nya
mengharapkannya	men harap kan nya
kabarkan	kabar kan
soalnya	soal nya
dikoreksi	di koreksi
licik	licik
jiwamu	jiwa mu
penarik	pen tarik
kamar	kamar
layar	layar
semusim	se musim
pelataran	pen latar an
realisasi	realisasi
bunyi	bunyi
dimerdekakan	di merdeka kan
terlebih	ter lebih
berpandangan	ber pandang an
membekas	men bekas
kualitas	kualitas
sindikat	sindikat
diciptakan	di cipta kan
sesamanya	se sama nya
semenarik	se menarik
fakir	fakir
mengintensifkan	men intensif kan
mahalnya	mahal nya
disetujuinya	di setuju i nya
menampik	men tampik
berdaya	ber daya
disimpulkannya	di simpul kan nya
perlengkapannya	per lengkap an nya
lemahnya	lemah nya
dibariskan	di baris kan
dermaga	dermaga
perbukitan	per bukit an
meneladani	men teladan i
sayang	sayang
menetap	men tetap
ketidakberhasilan	ke tidak berhasil an
perhitungan	per hitung an
kusampaikan	ku sampai kan
renungkan	renung kan
sokongan	sokong an
memberitahukan	men beritahu kan
persepsi	persepsi
tarik	tarik
ledakan	ledak an
mengenali	men kenal i
ayahku	ayah ku
penghilangan	pen hilang an
perkoperasian	per koperasi an
dititipi	di titip i
nakal	nakal
terkurung	ter kurung
jurang	jurang
multinasional	multinasional
mutlak	mutlak
kelihatan	ke lihat an
keperluan	ke perlu an
perpanjangan	per panjang an
berambisi	ber ambisi
merawatnya	men rawat nya
kontak	kontak
sayangnya	sayang nya
bersalah	ber salah
mengizinkan	men izin kan
membinasakan	men binasa kan
berdiskusi	ber diskusi
jaminan	jamin an
mengatasinya	men atas i nya
masai	masa i
rona	rona
pantai	pantai
meringkaskan	men ringkas kan
mengunyah	men kunyah
lisan	lisan
awalnya	awal nya
digadai	di gadai
delegasi	delegasi
mengendurkan	men kendur kan
dikoordinasikan	di koordinasi kan
dicatat	di catat
terciptanya	ter cipta nya
mendidik	men didik
memekakkan	men pekak kan
benda	benda
