nontarif	non tarif
pencukur	pen cukur
terpanjang	ter panjang
jumat	jumat
debutnya	debut nya
jauh	jauh
membangkitkan	men bangkit kan
pengadministrasian	pen administrasi an
absennya	absen nya
medis	medis
ibaratnya	ibarat nya
didukung	di dukung
memikirkan	men pikir kan
menangisi	men tangis i
pencalonan	pen calon an
anehnya	aneh nya
melewatinya	men lewat i nya
pengarahannya	pen arah an nya
ajarannya	ajar an nya
seksama	seksama
mencangkul	men cangkul
desain	desain
pembiusan	pen bius an
mengganggunya	men ganggu nya
diprotes	di protes
landai	landa i
pekerjaanku	pekerja an ku
menurunkan	men turun kan
janda	janda
keterampilan	keterampilan
berkumpul	ber kumpul
rendahan	rendah an
tua	tua
pisang	pisang
dilampiri	di lampir i
memenangkan	men menang kan
opini	opini
roh	roh
batang	batang
kumuh	kumuh
mengakhiri	men akhir i
keturunanmu	ke turun an mu
kelahirannya	ke lahir an nya
kitabnya	kitab nya
memadainya	memadai nya
balok	balok
pembaruannya	pen baru an nya
mayoritas	mayoritas
lucu	lucu
dikategori	di kategori
prediksi	prediksi
berangin	ber angin
antarkota	antar kota
suspensi	suspensi
dongeng	dongeng
ditabung	di tabung
pendekatan	pen dekat an
jangkauannya	jangkau an nya
volume	volume
diterbangkan	di terbang kan
sumberdayanya	sumberdaya nya
menghiburku	men hibur ku
pemilihnya	pen pilih nya
penggabungan	pen gabung an
tertundanya	ter tunda nya
bertempat	ber tempat
lenyap	lenyap
asuransi	asuransi
bersembunyi	ber sembunyi
menikahinya	men nikah i nya
karib	karib
ketahui	ketahui
mengancam	men ancam
keperluan	ke perlu an
pemimpinnya	pen pimpin nya
toko	toko
pertanggungjawaban	per tanggungjawab an
kutempatkan	ku tempat kan
disiram	di siram
menyetor	men setor
fitnah	fitnah
pengepungan	pen kepung an
sobekan	sobek an
cahaya	cahaya
terhitung	ter hitung
memperketat	men ketat
pengajuannya	pen aju an nya
sikat	sikat
kenalannya	kenal an nya
menakjubkannya	men takjub kan nya
punyai	punya i
prajurit	prajurit
penasihat	penasihat
mertuanya	mertua nya
tetapkan	tetap kan
disurvei	di survei
smp	smp
pengasuhan	pen asuh an
tidurku	tidur ku
pengimplementasian	pen implementasi an
antarruangan	antar ruang an
menganyam	men anyam
pemusnahan	pen musnah an
lentur	lentur
dukung	dukung
pergumulannya	per gumul an nya
pengingat	pen ingat
wol	wol
kios	kios
gadai	gadai
memberlakukan	men ber laku kan
struktur	struktur
pembukuan	pen buku an
militan	militan
menanganinya	men tangan i nya
persentasenya	persentase nya
berlalu	ber lalu
membersihkan	men bersih kan
mengintegrasikan	men integrasi kan
dipersatukan	di per satu kan
diadopsi	di adopsi
berpotensi	ber potensi
meneruskan	men terus kan
masalahnya	masalah nya
sekiranya	sekira nya
intensifnya	intensif nya
bertumpuk	ber tumpuk
nyata	nyata
penjelajah	pen jelajah
mencadangkan	men cadang kan
musikal	musikal
senjata	senjata
merajalela	men rajalela
berbasis	ber basis
mempelajarinya	men pelajar i nya
menjamurnya	men jamur nya
wilayahnya	wilayah nya
menantikan	menanti kan
lingkaran	lingkar an
memakai	men pakai
mendetail	men detail
kemasan	kemas an
mengamati	men amati
mencocokkannya	men cocok kan nya
miskin	miskin
suntik	suntik
akal	akal
handal	handal
skotlandia	skotlandia
menyuguhkan	men suguh kan
berkesimpulan	ber ke simpul an
merayu	men rayu
mendukakan	men duka kan
adik	adik
individu	individu
amatir	amatir
mengajukannya	men aju kan nya
berimbas	ber imbas
verifikasi	verifikasi
ginjal	ginjal
anggarannya	anggar an nya
halangan	halang an
jangka	jangka
modalnya	modal nya
berdaulat	ber daulat
lautnya	laut nya
pengaksesan	pen akses an
ditontonnya	di tonton nya
meneruskannya	men terus kan nya
menempelkan	men tempel kan
bersangkutan	ber sangkut an
gajian	gaji an
pelembagaan	pen lembaga an
hotel	hotel
sosialnya	sosial nya
direpotkan	di repot kan
dominannya	dominan nya
memerlukannya	men perlu kan nya
disisipkan	di sisip kan
memperlambat	men lambat
membentang	men bentang
suasana	suasana
kesediaannya	ke senya an nya
berdana	ber dana
menyangka	men sangka
mendistribusikannya	men distribusi kan nya
dihilangkan	di hilang kan
pendiam	pen diam
peninjauan	pen tinjau an
prosesi	proses i
tangkap	tangkap
efeknya	efek nya
menanjak	men tanjak
investigasi	investigasi
diimunisasi	di imunisasi
penabung	pen tabung
burung	burung
pembeliannya	pen beli an nya
bercanda	ber canda
diungkapkan	di ungkap kan
kunjungi	kunjung i
rupa	rupa
menyemprotkan	men semprot kan
bersaksi	ber saksi
memahaminya	men paham i nya
selamat	selamat
juruselamat	juruselamat
diteliti	di teliti
eksternal	eksternal
dugaan	duga an
antarhasil	antar hasil
menyegarkan	men segar kan
tikar	tikar
optimisme	optimisme
termasuk	ter masuk
penuturan	pen tutur an
memimpikan	men mimpi kan
sekutunya	sekutu nya
mengingatnya	men ingat nya
tekankan	tekan kan
obat	obat
laptop	laptop
tinggalnya	tinggal nya
lantang	lantang
lengkapnya	lengkap nya
menyetir	men setir
mengherankan	men heran kan
selebar	se lebar
sepakbola	sepakbola
reksa	reksa
menemaninya	men teman i nya
antar	antar
keturunannya	ke turun an nya
puncak	puncak
menggoyang	men goyang
diterlantarkan	di terlantar kan
tafsiran	tafsir an
dipilihkan	di pilih kan
disekolahkan	di sekolah kan
mencerminkan	men cermin kan
ungkapan	ungkap an
bapanya	bapa nya
berjumlah	ber jumlah
dukunnya	dukun nya
gengsi	gengsi
sebaik	se baik
spesial	spesial
perombakan	pen rombak an
asuh	asuh
utara	utara
sedihan	sedih an
memadai	memadai
dipersulit	di per sulit
berbahagia	ber bahagia
kumuhnya	kumuh nya
sekaleng	se kaleng
berukuran	ber ukur an
angkut	angkut
pengacau	pen kacau
tingkah	tingkah
kadar	kadar
kategori	kategori
kampanye	kampanye
retribusinya	retribusi nya
telepon	telepon
dituju	di tuju
pengendalian	pen kendali an
tesnya	tes nya
cerdik	cerdik
menuduh	men tuduh
dibiayai	di biaya i
pertempuran	per tempur an
dataran	datar an
penjara	penjara
terbilang	ter bilang
bijih	bijih
mengambilkanku	men ambil kan ku
terguncangkan	ter guncang kan
dipadukan	di padu kan
ajukan	aju kan
diperbuat	di per buat
meredakan	men reda kan
bidang	bidang
terendam	ter rendam
menghiraukan	men hirau kan
iris	iris
sabotase	sabotase
penentuan	pen tentu an
pertanyaannya	per tanya an nya
diundur	di undur
dikeraskan	di keras kan
dewasanya	dewasa nya
terdiam	ter diam
gadis	gadis
hampa	hampa
hancurnya	hancur nya
menyusunnya	men susun nya
berkonotasi	ber konotasi
dikontrakkan	di kontrak kan
emosional	emosional
pembakaran	pen bakar an
buruan	buru an
kepalaku	kepala aku
menjelekkan	men jelek kan
udaranya	udara nya
bercacat	ber cacat
mengaduk	men aduk
menolongnya	men tolong nya
pembagian	pen bagi an
senilai	se nilai
realis	realis
revolusi	revolusi
menggunakan	men guna kan
ditunjang	di tunjang
volumenya	volume nya
secepat	se cepat
menengok	men tengok
didambakannya	di damba kan nya
terbentur	ter bentur
terhisap	ter hisap
diraih	di raih
pengumuman	pen umum an
produktifitas	produktifitas
zaitun	zaitun
detektif	detektif
pendisiplinan	pen disiplin an
fotokopi	fotokopi
kuatir	kuatir
pencatatan	pen catat an
menanggapinya	men tanggap i nya
menyerupai	men serupa i
mendamaikan	men damai kan
otoriter	otoriter
aman	aman
hebat	hebat
dimasukinya	di masuk i nya
pai	pai
september	september
optimal	optimal
senang	senang
berlawanan	ber lawan an
asumsinya	asumsi nya
menahan	men tahan
prasarana	prasarana
perolehannya	peroleh an nya
penafsir	pen tafsir
peserta	peserta
menimbulkan	men timbul kan
selusin	se lusin
menyebabkan	men sebab kan
hunian	huni an
susun	susun
berhutang	ber hutang
diberikan	di beri kan
menyuap	men suap
vaksin	vaksin
mengira	men kira
akar	akar
enggannya	enggan nya
ringkasan	ringkas an
arisan	arisan
respons	respons
kliring	kliring
pemahamannya	pen paham an nya
menerjemahkan	men terjemah kan
percobaan	per coba an
sayap	sayap
penalti	penalti
orientasi	orientasi
pengaturan	pen atur an
ditolak	di tolak
menimba	men timba
meyakini	men yakin i
tangkai	tangkai
terbunuh	ter bunuh
kedengarannya	ke dengar an nya
terbentang	ter bentang
sabun	sabun
benci	benci
samudera	samudera
menirukan	men tiru kan
mengasihinya	men kasih i nya
anjurkan	anjur kan
diseberangi	di seberang i
dikoordinasikan	di koordinasi kan
bermakna	ber makna
menuntaskan	men tuntas kan
sebangsamu	se bangsa mu
penyaluran	pen salur an
kuadrat	kuadrat
badak	badak
gerai	gerai
tersingkirnya	ter singkir nya
komandan	komandan
imbas	imbas
dihakimi	di hakim i
institusi	institusi
diawasi	di awas i
sudut	sudut
diadukan	di adu kan
mengefektifkan	men efektif kan
tersisa	ter sisa
bodoh	bodoh
kebutuhanmu	ke butuh an mu
henti	henti
devisa	devisa
mengurai	men urai
menggantinya	men ganti nya
menindak	men tindak
bersama	ber sama
didekatnya	di dekat nya
meratanya	men rata nya
warganegaranya	warganegara nya
diampuni	di ampun i
rasuli	rasul i
ditunjukan	di tunjuk an
empunya	empunya
memerbaiki	men perbaiki
terkenal	ter kenal
menutupi	men tutup i
menyerahkan	men serah kan
terbukti	ter bukti
mengambilkan	men ambil kan
berpihak	ber pihak
menyamakan	men sama kan
mulutku	mulut ku
taruhan	taruh an
berbau	ber bau
diselesaikan	di selesai kan
teriknya	terik nya
ditanyakan	di tanya kan
dikapalkan	di kapal kan
penjelasan	pen jelas an
bangku	bangku
dewasa	dewasa
memperingati	men ingat i
jangkau	jangkau
suaminya	suami nya
budayanya	budaya nya
beraturan	ber atur an
ditawan	di tawan
rona	rona
penderitaannya	pen derita an nya
diberlakukannya	di ber laku kan nya
dihormatinya	di hormat i nya
diaplikasikan	di aplikasi kan
umurku	umur ku
afiliasi	afiliasi
makam	makam
konsumsinya	konsumsi nya
gugusan	gugus an
terpengaruh	ter pengaruh
diusahakannya	di usaha kan nya
temanku	teman ku
ambivalensi	ambivalensi
umpan	umpan
dirangkum	di rangkum
berlahan	ber lahan
penagihannya	pen tagih an nya
pemanfaatan	pen manfaat an
depanmu	depan mu
memonitor	men monitor
bantuan	bantu an
kreditnya	kredit nya
menyerang	men serang
melenceng	men lenceng
anggun	anggun
diselamatkan	di selamat kan
dipengaruhi	di pengaruh i
ketidaksiapan	ke tidak siap an
mencontohkan	men contoh kan
arus	arus
sepele	sepele
mangsanya	mangsa nya
pendam	pendam
berperang	ber perang
sisiku	sisi ku
berpagar	ber pagar
tanggapan	tanggap an
menyeringai	men seringai
dimusyawarahkan	di musyawarah kan
penelitinya	pen teliti nya
murni	murni
memesan	men pesan
berkurangnya	ber kurang nya
konstitusional	konstitusional
penyelenggara	pen selenggara
menyisihkan	men sisih kan
menitip	men titip
berbuah	ber buah
menghindar	men hindar
menular	men tular
kota	kota
mengasihiku	men kasih i ku
tangkapan	tangkap an
menyayangkan	men sayang kan
hangat	hangat
iklim	iklim
dibicarakan	di bicara kan
mengesankan	men kesan kan
tersungkur	ter sungkur
tergenang	ter genang
berotoritas	ber otoritas
sepatunya	sepatu nya
penargetan	pen target an
menyerbu	men serbu
pemalsuan	pen palsu an
sentuhan	sentuh an
diajarkan	di ajar kan
jakarta	jakarta
kirinya	kiri nya
diakui	di aku i
penggelapan	pen gelap an
carinya	cari nya
personel	personel
sholat	sholat
tersentak	ter sentak
menghapusnya	men hapus nya
diselaraskan	di selaras kan
mendapati	men dapat i
tangganya	tangga nya
seleksi	seleksi
penyebutan	pen sebut an
melamar	men lamar
surutnya	surut nya
bibirnya	bibir nya
dikhawatirkan	di khawatir kan
menyetorkannya	men setor kan nya
tunggakannya	tunggak an nya
karun	karun
dilindungi	di lindung i
berkelompok	ber kelompok
terlaksana	ter laksana
kejadianku	ke jadi an ku
lusinan	lusin an
penganiaya	pen aniaya
madunya	madu nya
penjatahan	pen jatah an
terakomodasi	ter akomodasi
imannya	iman nya
berurutan	ber urut an
penasehat	pen nasehat
dibutuhkannya	di butuh kan nya
pemerintahnya	pen perintah nya
bobrok	bobrok
tertatanya	ter tata nya
perkebunan	per kebun an
diperdakan	di perda kan
jiwamu	jiwa mu
melampirkannya	men lampir kan nya
semampu	se mampu
sekretaris	sekretaris
teladanku	teladan ku
selain	se lain
navigasi	navigasi
diversifikasi	diversifikasi
populasinya	populasi nya
dirusak	di rusak
menumpas	men tumpas
khususnya	khusus nya
kuadratnya	kuadrat nya
diawali	di awal i
merombak	men rombak
pilot	pilot
tercium	ter cium
diperkuat	di per kuat
menyadari	men sadar i
mendengar	men dengar
menumpahkan	men tumpah kan
anut	anut
uskup	uskup
soda	soda
topik	topik
pelintasan	pen lintas an
menggalang	men galang
kebutuhanku	ke butuh an ku
tajuk	tajuk
panglima	panglima
renungkan	renung kan
puasa	puasa
demobilisasi	demobilisasi
sangka	sangka
perizinan	per izin an
istimewa	istimewa
terikatnya	ter ikat nya
ventilasi	ventilasi
bertumbuhnya	ber tumbuh nya
mengacuhkan	men acuh kan
komprehensif	komprehensif
persimpangan	per simpang an
jawaban	jawab an
kaidah	kaidah
memberitakan	men berita kan
gerejanya	gereja nya
memeliharamu	men pelihara mu
dituduh	di tuduh
binatang	binatang
menyanggupi	men sanggup i
penjelajahan	pen jelajah an
penyempurnaan	pen sempurna an
bijak	bijak
antarsekolah	antar sekolah
mencatat	men catat
penghambat	pen hambat
beraksi	ber aksi
logis	logis
pemandangan	pen pandang an
daftarnya	daftar nya
mendasar	men dasar
pasangan	pasang an
pemberontak	pen berontak
kuajarkan	ku ajar kan
buat	buat
misinya	misi nya
pegolf	pen golf
beragam	ber ragam
berteriak	ber teriak
membelanjakannya	men belanja kan nya
penghulu	pen hulu
bercahaya	ber cahaya
dicarikan	di cari kan
melambat	men lambat
terbantu	ter bantu
mengguncang	men guncang
jengkel	jengkel
bingung	bingung
penggunaan	pen guna an
terkoyak	ter koyak
panennya	panen nya
fungsinya	fungsi nya
meraup	men raup
menyeimbangkan	men seimbang kan
ditanya	di tanya
mahabintangnya	mahabintang nya
perangkat	perangkat
dilaksanakannya	di laksana kan nya
renovasinya	renovasi nya
tersandung	ter sandung
direstrukturisasi	di restrukturisasi
pemutakhirannya	pen mutakhir an nya
kirim	kirim
tergantung	ter gantung
penyemprotan	pen semprot an
diproduksi	di produksi
swalayan	swalayan
parsial	parsial
intim	intim
konvensi	konvensi
diserahkan	di serah kan
mengurangi	men kurang i
muliakan	mulia kan
fasilitasi	fasilitas i
dipenjara	di penjara
segan	segan
dibangunkan	di bangun kan
dijaga	di jaga
terkini	terkini
mengasari	men kasar i
titipan	titip an
kendala	kendala
hubungi	hubung i
membacanya	men baca nya
web	web
timbang	timbang
dadaku	dada aku
proteksi	proteksi
min	min
hotelnya	hotel nya
melompat	men lompat
penuntun	pen tuntun
menanyakannya	men tanya kan nya
memulangkan	men pulang kan
reaksinya	reaksi nya
alokasinya	alokasi nya
umatnya	umat nya
pengurusnya	pen urus nya
bersamaku	ber sama aku
sma	sma
tercemarnya	ter cemar nya
penguasa	pen kuasa
prosedurnya	prosedur nya
menghentikan	men henti kan
rekonstruksinya	rekonstruksi nya
dihantam	di hantam
memikulmu	men pikul mu
pendanaannya	pen dana an nya
mempunyai	men punya i
percayakan	percaya kan
memancing	men pancing
sekutu	sekutu
berlebihan	ber lebih an
memekakkan	men pekak kan
ayub	ayub
dikomunikasikan	di komunikasi kan
dijelaskan	di jelas kan
dirumuskan	di rumus kan
memisahkannya	men pisah kan nya
periode	periode
menukar	men tukar
menyuratkan	men surat kan
pelat	pelat
situs	situs
penyuapan	pen suap an
kuba	kuba
menanggapi	men tanggap i
berangsur	ber angsur
merespon	men respon
penyerang	pen serang
akurasinya	akurasi nya
separah	se parah
mengetahuinya	men ketahui nya
diperanakkan	di per anak kan
berlindung	ber lindung
rezim	rezim
departemennya	departemen nya
alumninya	alumni nya
memperkuat	men kuat
daftar	daftar
menginginkanmu	men ingin kan mu
menjaminkan	men jamin kan
sedunia	se dunia
mantap	mantap
sempitnya	sempit nya
menanyakan	men tanya kan
mengoptimalkan	men optimal kan
karunia	karunia
berakibat	ber akibat
menyangkal	men sangkal
memproses	men proses
peneguhan	pen teguh an
terserap	ter serap
diungkap	di ungkap
bertindak	ber tindak
pemerasan	pen peras an
kemajuan	ke maju an
pemutar	pen putar
ilegal	ilegal
implementasi	implementasi
mampukan	mampu kan
cercaan	cerca an
kesudahan	ke sudah an
mitra	mitra
pekerjaan	pekerja an
kolaborasi	kolaborasi
penyesalan	pen sesal an
nonperbankan	non per bank an
menatapnya	men tatap nya
gembira	gembira
tawanan	tawan an
diwarisinya	di waris i nya
hutang	hutang
hutan	hutan
berkabut	ber kabut
kecaman	kecam an
perdanya	perda nya
setoran	setor an
seefektif	se efektif
bajak	bajak
pertunjukannya	per tunjuk an nya
percetakan	per cetak an
juri	juri
menginjakkan	men injak kan
acak	acak
pemanfaatannya	pen manfaat an nya
dicabut	di cabut
visi	visi
nasibnya	nasib nya
koperasinya	koperasi nya
berderit	ber derit
dipulau	di pulau
tertindas	ter tindas
berjenjang	ber jenjang
persediaan	per sedia an
mempercepat	men cepat
pembenahan	pen benah an
berpulang	ber pulang
beban	beban
pinang	pinang
dinegosiasikan	di negosiasi kan
disederhanakan	di sederhana kan
pemuka	pen muka
menyelam	men selam
mengucapkannya	men ucap kan nya
menghanguskan	men hangus kan
edaran	edar an
laut	laut
karakter	karakteri
motif	motif
tingginya	tinggi nya
menyembuhkannya	men sembuh kan nya
menyentuh	men sentuh
nikel	nikel
balistik	balistik
memasok	men pasok
beranggota	ber anggota
kakek	kakek
tunggu	tunggu
seseorang	seseorang
ditopang	di topang
mungil	mungil
mengapit	men apit
kiri	kiri
mempersembahkan	men sembah kan
heran	heran
harapkan	harap kan
menduplikasi	men duplikasi
bernalar	ber nalar
mukamu	muka kamu
tewas	tewas
merenungkannya	men renung kan nya
penargetannya	pen target an nya
komisi	komisi
mencemari	men cemar i
dikecewakan	di kecewa kan
arab	arab
jeda	jeda
menguap	men uap
bidan	bidan
agenda	agenda
nonkayu	non kayu
mengapung	men apung
tahan	tahan
disebar	di sebar
kebohongan	ke bohong an
pengusung	pen usung
berendam	ber rendam
membantu	men bantu
beredar	ber edar
gelapnya	gelap nya
bergoncang	ber goncang
membagi	men bagi
dituangkan	di tuang kan
inisiatif	inisiatif
berpendidikan	ber pen didik an
pengekspor	pen ekspor
melayani	men layan i
disetujuinya	di setuju i nya
kabar	kabar
ngerinya	ngeri nya
melantik	men lantik
menjamu	men jamu
sah	sah
diloloskan	di lolos kan
mendayagunakan	men dayaguna kan
terbesar	ter besar
antrinya	antri nya
nonpersonel	non personel
putraku	putra aku
tasnya	tas nya
merasuk	men rasuk
pancaran	pancar an
memakainya	men pakai nya
didiami	di diam i
suaranya	suara nya
jantan	jantan
mengikrarkan	men ikrar kan
pelelangan	pen lelang an
terhebat	ter hebat
berkekuatan	ber ke kuat an
kaya	kaya
terompetnya	terompet nya
balasannya	balas an nya
kamarnya	kamar nya
optimis	optimis
getaran	getar an
disumbang	di sumbang
terdahsyat	ter dahsyat
statusnya	status nya
nonpemerintah	non pen perintah
dipersembahkan	di per sembah kan
hasrat	hasrat
diperhitungkan	di per hitung kan
diinstruksikan	di instruksi kan
terkubur	ter kubur
bersengketa	ber sengketa
diklasifikasi	di klasifikasi
kepingan	keping an
pengampunan	pen ampun an
menanami	men tanam i
pertimbangannya	per timbang an nya
berternak	ber ternak
dikaji	di kaji
mendiskusikannya	men diskusi kan nya
pemberiannya	pen beri an nya
kamar	kamar
peminjam	pen pinjam
juli	juli
kamarmu	kamar mu
menampik	men tampik
membodohi	men bodoh i
tetapnya	tetap nya
dikenai	di kena i
azas	azas
jati	jati
pendirian	pen diri an
belikan	beli kan
direkrutnya	di rekrut nya
perdagangan	per dagang an
terkoordinir	ter koordinir
malam	malam
materi	materi
jembatannya	jembatan nya
lembaran	lembar an
putus	putus
antikristus	anti kristus
dibabat	di babat
mei	mei
penyiar	pen siar
restrukturisasi	restrukturisasi
sukacitanya	sukacita nya
konseptual	konseptual
islami	islam i
binaan	bina an
penggenapannya	pen genap an nya
debu	debu
berbicara	ber bicara
pencurian	pen curi an
rabu	rabu
mendampinginya	men damping i nya
mencipratkan	men ciprat kan
capaian	capai an
menyesatkan	men sesat kan
dibangkitkan	di bangkit kan
menanggap	men tanggap
dermaga	dermaga
mengejek	men ejek
asa	asa
gantung	gantung
penyuling	pen suling
ditahan	di tahan
mengajarnya	men ajar nya
hindari	hindar i
rinci	rinci
penutupnya	pen tutup nya
beratnya	berat nya
mengelilingi	men keliling i
jantung	jantung
tertuju	ter tuju
pengecualian	pengecualian
taksi	taksi
dibelenggu	di belenggu
kuotanya	kuota nya
ditabrak	di tabrak
dikeluarkan	di keluar kan
menawan	men tawan
menggapai	men gapai
alkitab	alkitab
dinikahkan	di nikah kan
pertanggungjawabannya	per tanggungjawab an nya
federasi	federasi
berdekatan	ber dekat an
ham	ham
komputer	komputer
bakat	bakat
mengorganisasi	men organisasi
pembekuan	pen beku an
tunjangannya	tunjang an nya
memperbaikinya	men baik i nya
keinginanmu	ke ingin an mu
dijelajahi	di jelajah i
pelatih	pen latih
mengindahkan	men indah kan
berada	ber ada
pengeruk	pen keruk
manipulasi	manipulasi
nonkontrak	non kontrak
dikuduskan	di kudus kan
mengizinkannya	men izin kan nya
kuduskan	kudus kan
kairo	kairo
mengijinkan	men ijin kan
cukurnya	cukur nya
memastikan	men pasti kan
kompensasi	kompensasi
aksi	aksi
menamainya	men nama i nya
harinya	hari nya
pengintegrasian	pen integrasi an
triwulan	triwulan
penolongku	pen tolong ku
melahirkan	men lahir kan
sekayu	se kayu
suara	suara
menguat	men kuat
pigmen	pigmen
polanya	pola nya
lontong	lontong
terkhusus	ter khusus
mengelompokkan	men kelompok kan
pembawa	pen bawa
perajin	pen rajin
partai	partai
pembebasan	pen bebas an
pembobolan	pen bobol an
bertiup	ber tiup
bersandar	ber sandar
menabur	men tabur
telaah	telaah
perpipaan	per pipa an
memproyeksikan	men proyeksi kan
merontokkan	men rontok kan
melonjaknya	men lonjak nya
persembunyiannya	per sembunyi an nya
berakar	ber akar
ditoleransi	di toleransi
persis	persis
tebusan	tebus an
sesak	sesak
menilik	men tilik
mendefinisikan	men definisi kan
tayangan	tayang an
artikelnya	artikel nya
dekade	dekade
tangki	tangki
merdeka	merdeka
dilaksanakan	di laksana kan
pulih	pulih
berkampanye	ber kampanye
disusun	di susun
dirawat	di rawat
nopember	nopember
dihentikan	di henti kan
dipikirnya	di pikir nya
merealokasikan	men realokasi kan
menganugerahkan	men anugerah kan
jatuh	jatuh
pemuridan	pen murid an
investasinya	investasi nya
angkanya	angka nya
merindukan	men rindu kan
klasik	klasik
lebar	lebar
telingamu	telinga mu
menggumamkan	men gumam kan
internet	internet
untung	untung
fokusnya	fokus nya
dilempar	di lempar
ismail	ismail
disibukkan	di sibuk kan
natal	natal
dituturkan	di tutur kan
bergelantungan	ber gelantung an
memerintahkan	men perintah kan
menjejakkan	men jejak kan
penutupan	pen tutup an
menyimpang	men simpang
perintah	perintah
penyesuaian	pen sesuai an
kulkas	kulkas
mencukupi	men cukup i
mudahnya	mudah nya
melobi	men lobi
restoran	restoran
konservasi	konservasi
bermanfaat	ber manfaat
terenggut	ter renggut
terbitkan	terbit kan
pertarungan	per tarung an
perpaduan	per padu an
masanya	masa nya
mengontrakkan	men kontrak kan
penanggung	pen tanggung
politikus	politikus
berasas	ber asas
menjaganya	men jaga nya
semut	semut
lambat	lambat
intens	intens
terowongan	terowongan
nasib	nasib
berdasar	ber dasar
